date,open,high,low,close,CI,trend,in_progress,Volatility,Volatility_median,Volatility_status,Volatility_Trend,Volatility_Trend_actionable,typical_spread_in_points,weighted_avg_execution_spread_$,volume_spreads_df,PnL_per_lot,total_profit,total_volume
2020-01-02,1.12132,1.12143,1.11635,1.11722,51.97079402552257,0.0,0.0,0.004550544184171607,0.004271070017762488,High_Volatility,High Volatility + No Trend,,,10.019926515110706,2590.038547316316,5.31,18745.16,3529.72
2020-01-03,1.11722,1.11797,1.1125,1.11558,52.34287894536407,0.0,0.0,0.004916853932584147,0.0042925771858495654,High_Volatility,High Volatility + No Trend,High Volatility + No Trend,,10.22466530299084,2410.340876139032,-13.27,-43866.27,3305.52
2020-01-06,1.11646,1.12054,1.11571,1.11968,52.26457884205751,0.0,0.0,0.004329081929892277,0.0042925771858495654,High_Volatility,High Volatility + No Trend,High Volatility + No Trend,,10.035828223231611,2102.9594391323685,-13.77,-37457.47,2719.96
2020-01-07,1.1196,1.11975,1.11335,1.11526,52.189668658860406,0.0,0.0,0.005748416939866135,0.004311158831731794,High_Volatility,High Volatility + No Trend,High Volatility + No Trend,,10.08172912331116,2738.924227815457,-8.53,-30350.84,3559.95
2020-01-08,1.11529,1.11681,1.11016,1.11053,52.146231821721415,0.0,0.0,0.00599012754918214,0.004326533054122685,High_Volatility,High Volatility + No Trend,High Volatility + No Trend,,9.96204143213818,3035.79948969534,-9.2,-36347.42,3949.26
2020-01-09,1.11053,1.11203,1.10923,1.11051,51.94180629845843,0.0,0.0,0.0025242735951967903,0.004311158831731794,Low_Volatility,Low Volatility + No Trend,High Volatility + No Trend,,9.913607215780557,2548.5191426452093,-9.7,-31871.91,3285.14
2020-01-10,1.11051,1.11291,1.1085,1.11212,51.80530601555688,0.0,0.0,0.00397834912043304,0.004311158831731794,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,,10.16228941106174,2464.169652994332,-2.06,-6679.55,3246.55
2020-01-13,1.11162,1.11469,1.11127,1.11338,52.30861583050283,0.0,0.0,0.003077559908933003,0.004311158831731794,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,,9.794444741757879,2661.9842597200486,-3.28,-10993.46,3347.9
2020-01-14,1.11338,1.11444,1.11042,1.11274,52.25659451787167,0.0,0.0,0.0036202517966176175,0.004311158831731794,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,,10.010943887546164,2459.0987797604967,-2.91,-9410.28,3229.7
2020-01-15,1.11284,1.11633,1.11185,1.11495,55.39287100772241,0.0,0.0,0.0040293205018662945,0.0042925771858495654,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,,9.855589867383824,3126.342086866671,-4.53,-18493.67,4084.33
2020-01-16,1.11492,1.11726,1.11278,1.11358,56.33552601041576,0.0,0.0,0.00402595301856595,0.004271070017762488,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,,10.010548889388756,3097.9607317315986,-4.36,-17518.0,4019.36
2020-01-17,1.11352,1.11425,1.10862,1.10893,56.30137876857791,0.0,0.0,0.005078385740830965,0.004271070017762488,High_Volatility,High Volatility + No Trend,Low Volatility + No Trend,,9.949040467195779,2196.2097643392767,-12.03,-34714.24,2885.72
2020-01-20,1.1092,1.11024,1.10766,1.10944,54.06515981915973,0.0,0.0,0.0023292346026757347,0.004271070017762488,Low_Volatility,Low Volatility + No Trend,High Volatility + No Trend,,10.0576746494191,1939.46162499469,-12.14,-29773.04,2452.25
2020-01-21,1.10934,1.1118,1.10809,1.10819,60.09074116109375,0.0,0.0,0.003348103493398442,0.004254617088826221,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,,10.219172307056958,2988.79507420358,-1.15,-4381.41,3826.37
2020-01-22,1.10816,1.10983,1.10701,1.1092,60.4782449414492,0.0,0.0,0.0025474024624890872,0.0042227307372417165,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,,10.12081856065156,3646.42567633342,-3.38,-16594.22,4911.64
2020-01-23,1.1092,1.11087,1.10363,1.10542,51.805156304845056,1.0,0.5,0.006560169622065287,0.0042227307372417165,High_Volatility,High Volatility + Trend,Low Volatility + No Trend,,10.5907389205916,3560.451551465474,-15.68,-77021.92,4911.91
2020-01-24,1.10542,1.10617,1.10196,1.10255,49.81792073588702,1.0,0.5,0.003820465352644422,0.0042227307372417165,Low_Volatility,Low Volatility + Trend,High Volatility + Trend,,10.167530950399597,3253.3001029910665,-15.36,-69035.74,4493.39
2020-01-27,1.10295,1.10375,1.10096,1.10184,52.823503127852575,1.0,0.5,0.0025341520127889028,0.0042227307372417165,Low_Volatility,Low Volatility + Trend,Low Volatility + Trend,,9.94325801585131,2821.2006604974968,-15.27,-57316.9,3754.42
2020-01-28,1.10185,1.10251,1.09977,1.1022,49.59115179411269,1.0,0.5,0.002491430026278392,0.004180299418131253,Low_Volatility,Low Volatility + Trend,Low Volatility + Trend,,9.854830101507394,4230.338126315602,-8.54,-47510.08,5562.05
2020-01-29,1.10219,1.10277,1.09922,1.10099,47.94633569243284,1.0,0.5,0.0032295627808809355,0.004180299418131253,Low_Volatility,Low Volatility + Trend,Low Volatility + Trend,,10.155467040774347,3522.7977382201243,-5.66,-25475.7,4504.01
2020-01-30,1.10098,1.10393,1.10068,1.10312,47.38855888502152,1.0,0.5,0.00295272013664278,0.004180299418131253,Low_Volatility,Low Volatility + Trend,Low Volatility + Trend,,10.105495269462391,2325.408222588487,-6.55,-19741.17,3014.24
2020-01-31,1.10313,1.10951,1.10168,1.10943,47.11911007881231,1.0,0.5,0.007107326991503888,0.004180299418131253,High_Volatility,High Volatility + Trend,Low Volatility + Trend,,10.167042262591494,2999.019259392535,-9.63,-38688.36,4019.07
2020-02-03,1.10907,1.10927,1.10349,1.10593,46.86951346822227,1.0,0.5,0.005237926940887453,0.004180299418131253,High_Volatility,High Volatility + Trend,High Volatility + Trend,,10.311970949097434,1957.2737321257848,0.24,644.19,2686.85
2020-02-04,1.1059,1.10642,1.10327,1.10434,46.47242907328181,1.0,0.5,0.0028551487849755603,0.004153871866339112,Low_Volatility,Low Volatility + Trend,High Volatility + Trend,,9.893517506560483,1618.9485724376098,-8.13,-16743.29,2058.83
2020-02-05,1.10436,1.10478,1.09935,1.09989,52.95030283344848,1.0,0.5,0.004939282303179193,0.004153871866339112,High_Volatility,High Volatility + Trend,Low Volatility + Trend,,10.197425116948237,2228.2426631523326,-23.43,-65535.35,2796.51
