date,open,high,low,close,CI,trend,in_progress,Volatility,Volatility_median,Volatility_status,Volatility_Trend,Volatility_Trend_actionable,typical_spread_in_points,weighted_avg_execution_spread_$,PnL_per_lot,total_profit,total_volume
2022-10-28 06:00:00,146.176,146.581,146.078,146.094,,0.0,0.0,0.0034433658730266426,,Low_Volatility,Low Volatility + No Trend,,,,,,
2022-10-28 07:00:00,146.096,146.302,145.978,146.265,,0.0,0.0,0.002219512529285124,,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,,,,,
2022-10-28 08:00:00,146.264,146.434,146.198,146.412,,0.0,0.0,0.001614249168935211,,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,,,,,
2022-10-28 09:00:00,146.411,146.638,146.31,146.595,,0.0,0.0,0.0022418153236279333,,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,,,,,
2022-10-28 10:00:00,146.594,147.125,146.531,147.063,,0.0,0.0,0.004053749718489563,,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,,,,,
2022-10-28 11:00:00,147.062,147.578,147.034,147.431,,0.0,0.0,0.0036998245303808044,,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,,,,,
2022-10-28 12:00:00,147.421,147.853,147.369,147.667,,0.0,0.0,0.0032842728117854427,,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,,,,,
2022-10-28 13:00:00,147.667,147.72,147.521,147.637,,0.0,0.0,0.0013489604869815978,,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,,,,,
2022-10-28 14:00:00,147.64,147.724,147.128,147.465,,0.0,0.0,0.0040508944592463954,,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,,,,,
2022-10-28 15:00:00,147.467,147.828,147.121,147.709,,0.0,0.0,0.00480556820576256,,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,,,,,
2022-10-28 16:00:00,147.706,147.721,147.355,147.461,,0.0,0.0,0.0024837976315701124,,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,,,,,
2022-10-28 17:00:00,147.443,147.674,147.254,147.5,,0.0,0.0,0.002852214540861477,,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,,,,,
