date,open,high,low,close,CI,trend,in_progress,Volatility,Volatility_median,Volatility_status,Volatility_Trend,Volatility_Trend_actionable,typical_spread_in_points,weighted_avg_execution_spread_$,PnL_per_lot,total_profit,total_volume
2020-04-17,107.91,108.08,107.3,107.5,77.29919488044033,0.0,0.0,0.0072693383038210735,0.005086342119869262,High_Volatility,High Volatility + No Trend,High Volatility + No Trend,,,-6.367447,-10603.0,1665.12
2020-04-20,107.48,107.94,107.39,107.6,74.57936981299301,0.0,0.0,0.0051215196945711625,0.00512740249858238,Low_Volatility,Low Volatility + No Trend,High Volatility + No Trend,,,-0.427481,-962.0,2250.01
2020-04-21,107.6,107.89,107.28,107.75,71.91167439994857,0.0,0.0,0.0056860551826994725,0.005141405008575914,High_Volatility,High Volatility + No Trend,Low Volatility + No Trend,,,0.91713,2446.0,2666.47
2020-04-22,107.75,107.94,107.51,107.73,69.44341115973869,0.0,0.0,0.00399962794158676,0.005141405008575914,Low_Volatility,Low Volatility + No Trend,High Volatility + No Trend,,,-0.106012,-167.0,1573.78
2020-04-23,107.71,108.03,107.34,107.6,67.13515554036583,0.0,0.0,0.006428172163219654,0.005141405008575914,High_Volatility,High Volatility + No Trend,Low Volatility + No Trend,,,4.298575,6290.0,1463.18
2020-04-24,107.55,107.76,107.37,107.45,66.32627883214035,0.0,0.0,0.0036322995250069904,0.0050804593158580436,Low_Volatility,Low Volatility + No Trend,High Volatility + No Trend,,,2.48694,1509.0,606.79
2020-04-27,107.54,107.62,106.99,107.23,66.90229645766445,0.0,0.0,0.005888400785120196,0.0050804593158580436,High_Volatility,High Volatility + No Trend,Low Volatility + No Trend,,,2.686898,3571.0,1329.02
2020-04-28,107.24,107.34,106.56,106.86,59.87801159240343,0.0,0.5,0.00731981981981983,0.005141405008575914,High_Volatility,High Volatility + No Trend,High Volatility + No Trend,,,-23.815239,-28128.0,1181.08
2020-04-29,106.86,106.89,106.35,106.6,62.34534529315214,0.0,0.0,0.005077574047954925,0.005099546871263044,Low_Volatility,Low Volatility + No Trend,High Volatility + No Trend,,,-16.071251,-16262.0,1011.88
2020-04-30,106.55,107.49,106.4,107.13,62.376392895182086,0.0,0.0,0.010244360902255537,0.005099546871263044,High_Volatility,High Volatility + No Trend,Low Volatility + No Trend,,,-24.22664,-40528.0,1672.86
2020-05-01,107.12,107.4,106.6,106.89,69.84536344029368,0.0,0.0,0.0075046904315198065,0.005099546871263044,High_Volatility,High Volatility + No Trend,High Volatility + No Trend,,,-8.938122,-9019.0,1009.04
2020-05-04,106.79,107.06,106.62,106.7,68.64520763044304,0.0,0.0,0.004126805477396339,0.005058486492549925,Low_Volatility,Low Volatility + No Trend,High Volatility + No Trend,,,-2.490352,-1790.0,718.81
