date,open,high,low,close,move,abs_move,st_dev,avg_move,st_dev_move,pct_move,abs_pct_move,st_dev_pct,st_dev_pct_move,diff,avg_diff,avg_diff_multiple,2_st_dev_move,3_st_dev_move,2_st_dev_pct_move,3_st_dev_pct_move,2_mean_diff,3_mean_diff,2_st_dev_move_price,3_st_dev_move_price,2_st_dev_pct_move_price,3_st_dev_pct_move_price,2_mean_diff_move_price,3_mean_diff_move_price
2020-02-28,1643.91,1649.4,1562.87,1585.5,-58.6099999999999,58.6099999999999,11.366018733226337,8.363809523809529,5.156598926646584,-0.03564846634349277,0.03564846634349277,0.007702487791419035,4.628175637383935,86.5300000000002,16.27869047619048,5.31553813413681,1,1,1,1,1,1,1585.5,1585.5,1585.5,1585.5,1585.5,1585.5
2020-03-03,1585.02,1649.23,1584.43,1640.33,51.3599999999999,51.3599999999999,11.785087944892126,8.530793650793655,4.358049786320031,0.03232282547813986,0.03232282547813986,0.007942184755167564,4.069764992196775,64.79999999999995,16.60242063492064,3.903045310374989,1,1,1,1,1,1,1640.33,1640.33,1640.33,1640.33,1640.33,1640.33
2020-03-12,1633.45,1649.99,1560.53,1577.34,-57.13000000000011,57.13000000000011,12.691237768909703,8.9618253968254,4.501530980686064,-0.034953226428138855,0.034953226428138855,0.008430058497529137,4.146261433225368,89.46000000000004,17.42230158730159,5.1347980375453846,1,1,1,1,1,1,1577.34,1577.34,1577.34,1577.34,1577.34,1577.34
2020-03-13,1579.1,1597.82,1504.54,1529.0,-48.33999999999992,48.33999999999992,13.06516530677872,9.135357142857146,3.6999149161104934,-0.030646531502402728,0.030646531502402728,0.008657454673111775,3.5399008899907245,93.27999999999997,17.76019841269842,5.2521935753434725,1,1,1,1,1,1,1529.0,1529.0,1529.0,1529.0,1529.0,1529.0
2020-03-16,1570.73,1574.95,1451.07,1514.8,-14.200000000000045,14.200000000000045,13.09018080124258,9.15746031746032,1.0847825721896918,-0.009287115761935935,0.009287115761935935,0.008671803715178745,1.0709554859596482,123.88000000000011,18.198373015873024,6.807201934587736,0,0,0,0,1,1,,,,,1514.8,1514.8
2020-03-17,1509.7,1553.89,1465.33,1527.8,13.0,13.0,13.103384744406458,9.18103174603175,0.9921100733571461,0.008581991021917085,0.008581991021917085,0.008678284938239907,0.9889040384121851,88.56000000000017,18.50781746031747,4.785005049346379,0,0,0,0,1,1,,,,,1527.8,1527.8
2020-03-18,1527.5,1545.95,1472.52,1485.7,-42.09999999999991,42.09999999999991,13.373972428997583,9.326111111111114,3.147905397854587,-0.02755596282235889,0.02755596282235889,0.00885304672752636,3.1125965636982844,73.43000000000006,18.754563492063497,3.9153137331654753,1,1,1,1,1,1,1485.7,1485.7,1485.7,1485.7,1485.7,1485.7
2020-03-20,1469.59,1515.71,1454.79,1497.9,25.7800000000002,25.7800000000002,13.434938896515364,9.395476190476193,1.9188773539332427,0.01751215933483697,0.01751215933483697,0.008883379658112985,1.9713397387945162,60.92000000000007,18.996666666666673,3.2068783997192516,0,0,0,0,1,1,,,,,1497.9,1497.9
2020-03-23,1503.61,1561.09,1482.27,1552.85,54.94999999999982,54.94999999999982,13.856639133610706,9.595992063492066,3.9656080720694336,0.036684691901996004,0.036684691901996004,0.00916533096686444,4.002549611642255,78.81999999999994,19.268214285714294,4.090674871642782,1,1,1,1,1,1,1552.85,1552.85,1552.85,1552.85,1552.85,1552.85
2020-03-24,1554.76,1632.86,1552.17,1626.42,73.57000000000016,73.57000000000016,14.588960911311105,9.870714285714289,5.042854007714827,0.047377402839939575,0.047377402839939575,0.009622582873922793,4.923564022330467,80.68999999999983,19.56194444444445,4.124845576019188,1,1,1,1,1,1,1626.42,1626.42,1626.42,1626.42,1626.42,1626.42
2020-07-28,1941.5,1981.01,1906.55,1959.42,17.820000000000164,17.820000000000164,16.23175780061008,11.623492063492064,1.0978478251647144,0.009177997527812199,0.009177997527812199,0.010106668419260233,0.9081130543791988,74.46000000000004,23.91404761904763,3.113651071794821,0,0,0,0,1,1,,,,,1959.42,1959.42
2020-08-11,2027.51,2029.95,1901.09,1911.32,-115.90000000000009,115.90000000000009,18.104553853823628,12.29079365079365,6.401704285881773,-0.05717189056935117,0.05717189056935117,0.010791158057749087,5.298031060558535,128.86000000000013,24.826428571428586,5.190436458842825,1,1,1,1,1,1,1911.32,1911.32,1911.32,1911.32,1911.32,1911.32
2020-08-12,1910.13,1949.15,1861.85,1916.5,5.180000000000064,5.180000000000064,18.101102056510708,12.291468253968253,0.2861704212168061,0.00271016888851687,0.00271016888851687,0.010788215784636963,0.2512156729731255,87.30000000000018,25.130753968253984,3.4738313108425034,0,0,0,0,1,1,,,,,1916.5,1916.5
2020-08-19,2001.79,2006.45,1924.62,1927.84,-73.8900000000001,73.8900000000001,18.948946324379403,12.79218253968254,3.899425262761679,-0.03691307019428199,0.03691307019428199,0.01112192522443708,3.3189460861665068,81.83000000000015,25.752420634920647,3.177565369875852,1,1,1,1,1,1,1927.84,1927.84,1927.84,1927.84,1927.84,1927.84
2020-11-09,1954.95,1965.41,1850.31,1862.58,-88.59000000000015,88.59000000000015,20.76854478424664,14.168531746031746,4.2655853320641635,-0.0454035271145006,0.0454035271145006,0.011738922142625173,3.867776492837955,115.10000000000014,28.84928571428573,3.9897001658867537,1,1,1,1,1,1,1862.58,1862.58,1862.58,1862.58,1862.58,1862.58
2021-08-09,1762.68,1764.46,1681.79,1729.37,-34.25,34.25,18.04147691986818,12.935119047619054,1.8984033376049263,-0.019420283280978896,0.019420283280978896,0.009683452953673418,2.005512225224558,82.67000000000007,27.197380952380957,3.0396309168424853,0,0,1,0,1,1,,,1729.37,,1729.37,1729.37
2022-02-24,1909.23,1974.25,1877.63,1903.05,-5.740000000000009,5.740000000000009,13.872379158859571,10.359801587301588,0.4137718508316699,-0.0030071406493118727,0.0030071406493118727,0.007717486155751279,0.3896528725316689,96.61999999999989,22.388492063492055,4.315609989542526,0,0,0,0,1,1,,,,,1903.05,1903.05
2022-03-08,1996.32,2070.2,1981.01,2049.59,52.100000000000136,52.100000000000136,14.57532556446641,10.842857142857145,3.5745342201491654,0.02608273383095792,0.02608273383095792,0.008012890270550525,3.255096843996331,89.18999999999983,22.97972222222221,3.8812479601581047,1,1,1,1,1,1,2049.59,2049.59,2049.59,2049.59,2049.59,2049.59
2022-03-09,2049.14,2059.13,1975.89,1991.48,-58.11000000000013,58.11000000000013,15.035035579053474,11.04011904761905,3.864972563214807,-0.02835201186578785,0.02835201186578785,0.008211803383802377,3.452592632905903,83.24000000000001,23.16654761904761,3.5931119892702448,1,1,1,1,1,1,1991.48,1991.48,1991.48,1991.48,1991.48,1991.48
