date,open,close,TR,ATR,CI,zigzag,peaks,valleys
2015.04.20,1.08178,1.07372,,,,,,
2015.04.21,1.07369,1.07346,0.0121,,,,,
2015.04.22,1.0735,1.07232,0.009220000000000006,,,,,
2015.04.23,1.07233,1.08236,0.01797000000000004,,,,,
2015.04.24,1.08228,1.08667,0.011479999999999935,,,,,
2015.04.27,1.08613,1.08894,0.010689999999999866,,,,,
2015.04.28,1.08895,1.09802,0.01307999999999998,,,,,
2015.04.29,1.09801,1.11275,0.022820000000000062,,,,,
2015.04.30,1.11279,1.12235,0.019479999999999942,,,,,
2015.05.01,1.12239,1.11937,0.011519999999999975,,,,,
2015.05.04,1.11887,1.11448,0.010170000000000012,,,,,
2015.05.05,1.11442,1.11848,0.0156400000000001,,,,,
2015.05.06,1.11846,1.13465,0.019519999999999982,,,,,
2015.05.07,1.13468,1.1265,0.015449999999999964,,,,,
2015.05.08,1.12651,1.1209,0.010830000000000117,0.014283571428571427,,,,
2015.05.11,1.11988,1.11547,0.007819999999999938,0.013977857142857137,,,,
2015.05.12,1.11546,1.12126,0.014430000000000165,0.014350000000000005,,,,
2015.05.13,1.12126,1.13532,0.01800999999999986,0.014352857142857136,,,,
2015.05.14,1.13531,1.14089,0.0103899999999999,0.01427499999999999,,,,
2015.05.15,1.1409,1.14437,0.01425999999999994,0.014529999999999996,,,,
2015.05.18,1.1447,1.13131,0.015030000000000099,0.014669285714285718,,,,
2015.05.19,1.13131,1.11492,0.02075999999999989,0.014522142857142848,,,,
2015.05.20,1.11514,1.10926,0.008989999999999831,0.013772857142857127,,,,
2015.05.21,1.10925,1.11111,0.010180000000000078,0.013677142857142848,,,,
2015.05.22,1.11115,1.10091,0.020610000000000017,0.014422857142857135,,,,
2015.05.25,1.1003,1.09774,0.005009999999999959,0.01366357142857141,,,,
2015.05.26,1.09767,1.08709,0.011739999999999862,0.013107857142857116,,,,
2015.05.27,1.08715,1.09027,0.010989999999999833,0.012789285714285678,42.03910840043366,,,
2015.05.28,1.09026,1.09465,0.009130000000000082,0.012667857142857104,41.72608306221828,,,
2015.05.29,1.09464,1.09911,0.008019999999999916,0.012682142857142817,41.473172025344304,,,
2015.06.01,1.09809,1.09246,0.01041000000000003,0.01239499999999995,41.08835094911731,,,
2015.06.02,1.09246,1.11487,0.02774999999999994,0.013090714285714242,40.83781926646029,,,
2015.06.03,1.11484,1.12727,0.02059999999999995,0.013819999999999959,40.74709533986576,,,
2015.06.04,1.12727,1.12374,0.015739999999999865,0.01392571428571424,41.68837860564958,,,
2015.06.05,1.12372,1.11083,0.02306000000000008,0.014499285714285668,46.05200563387239,,,
