date,open,high,low,close,move,abs_move,st_dev,avg_move,st_dev_move,pct_move,abs_pct_move,st_dev_pct,st_dev_pct_move,diff,avg_diff,avg_diff_multiple,2_st_dev_move,3_st_dev_move,2_st_dev_pct_move,3_st_dev_pct_move,2_mean_diff,3_mean_diff,2_st_dev_move_price,3_st_dev_move_price,2_st_dev_pct_move_price,3_st_dev_pct_move_price,2_mean_diff_move_price,3_mean_diff_move_price
2020-01-02,1520.51,1531.3,1517.14,1528.91,9.090000000000146,9.090000000000146,10.17135850906238,7.5775000000000015,0.8936859311272162,0.005980971430827431,0.005980971430827431,0.007161564299541273,0.8351487441382793,14.159999999999854,15.435000000000004,0.9173955296404179,0,0,0,0,0,0,,,,,,
2020-01-03,1528.32,1553.48,1527.83,1551.71,22.799999999999955,22.799999999999955,10.263950522093795,7.6642857142857155,2.221366904577485,0.014912584782622884,0.014912584782622884,0.00721721707512841,2.066251385733407,25.65000000000009,15.502738095238097,1.6545464318899175,1,0,1,0,0,0,1551.71,,1551.71,,,
2020-01-06,1559.85,1587.55,1559.62,1565.31,13.599999999999909,13.599999999999909,10.292298669087225,7.700992063492064,1.3213763452908065,0.00876452429899911,0.00876452429899911,0.007232933399344923,1.2117523852484111,27.930000000000064,15.580912698412703,1.7925779150823056,0,0,0,0,0,0,,,,,,
2020-01-07,1564.66,1577.26,1555.21,1573.71,8.400000000000091,8.400000000000091,10.300092615635027,7.724484126984129,0.8155266475224999,0.005366349157674896,0.005366349157674896,0.007236619980836696,0.7415546445558193,22.049999999999955,15.636825396825403,1.410132775702449,0,0,0,0,0,0,,,,,,
2020-01-08,1576.61,1611.27,1552.58,1555.91,-17.799999999999955,17.799999999999955,10.366975075645735,7.778412698412701,1.71699072006221,-0.011310851427518382,0.011310851427518382,0.007275135516696224,1.5547272489371926,58.690000000000055,15.841507936507941,3.7048240757904463,0,0,0,0,1,1,,,,,1555.91,1555.91
2020-01-09,1556.0,1561.23,1540.14,1551.81,-4.100000000000136,4.100000000000136,10.37076980540956,7.788571428571433,0.39534191549228204,-0.0026351138561999964,0.0026351138561999964,0.0072772476115731,0.3621030912854114,21.089999999999918,15.898769841269846,1.3265177249911961,0,0,0,0,0,0,,,,,,
2020-01-10,1551.81,1563.07,1545.67,1561.71,9.900000000000091,9.900000000000091,10.360446813112372,7.786587301587306,0.9555572436770264,0.006379646992866453,0.006379646992866453,0.007264435956226381,0.8782026617494547,17.399999999999864,15.920952380952384,1.0928994436800774,0,0,0,0,0,0,,,,,,
2020-01-13,1561.15,1561.21,1546.4,1547.51,-14.200000000000045,14.200000000000045,10.404140298185938,7.837539682539687,1.3648412644412293,-0.009092597217153022,0.009092597217153022,0.007290259936812544,1.247225379610881,14.809999999999945,15.952698412698416,0.9283695846848783,0,0,0,0,0,0,,,,,,
2020-01-14,1547.24,1548.79,1535.87,1546.11,-1.400000000000091,1.400000000000091,10.402480660058004,7.823730158730163,0.1345832831370325,-0.000904679129698736,0.000904679129698736,0.007288498577911284,0.1241242102235542,12.920000000000073,15.971984126984129,0.808916406207302,0,0,0,0,0,0,,,,,,
2020-01-15,1545.89,1556.95,1545.84,1555.81,9.700000000000045,9.700000000000045,10.414375246737766,7.852420634920639,0.9314048870131222,0.006273809754804021,0.006273809754804021,0.007294757342118827,0.8600436533481369,11.110000000000127,15.984801587301591,0.6950352145018783,0,0,0,0,0,0,,,,,,
2020-01-16,1555.73,1558.0,1547.92,1552.32,-3.490000000000009,3.490000000000009,10.417097852126812,7.860317460317464,0.33502613199389997,-0.002243204504406071,0.002243204504406071,0.007296221963745878,0.30744740436246415,10.079999999999927,15.993055555555559,0.6302735562309983,0,0,0,0,0,0,,,,,,
2020-01-17,1551.8,1561.14,1549.27,1557.01,4.690000000000055,4.690000000000055,10.33582244142642,7.791865079365084,0.453761664983943,0.0030212842712843066,0.0030212842712843066,0.0072241024950099346,0.4182227859268699,11.870000000000118,15.944841269841273,0.7444414026530024,0,0,0,0,0,0,,,,,,
2020-01-20,1556.96,1562.7,1556.29,1560.44,3.4300000000000637,3.4300000000000637,10.336814225356795,7.804722222222227,0.33182370556549984,0.0022029402508654816,0.0022029402508654816,0.00722459740475355,0.3049222160692329,6.410000000000082,15.943492063492068,0.4020449205527508,0,0,0,0,0,0,,,,,,
