date,open,high,low,close,move,abs_move,st_dev,avg_move,st_dev_move,pct_move,abs_pct_move,st_dev_pct,st_dev_pct_move,diff,avg_diff,avg_diff_multiple,2_st_dev_move,3_st_dev_move,2_st_dev_pct_move,3_st_dev_pct_move,2_mean_diff,3_mean_diff,2_st_dev_move_price,3_st_dev_move_price,2_st_dev_pct_move_price,3_st_dev_pct_move_price,2_mean_diff_move_price,3_mean_diff_move_price
2014-01-01,1.3755,1.37648,1.37372,1.3758,,,,,,,,,,0.0027599999999998737,,,0,0,0,0,0,0,,,,,,
2014-01-02,1.37581,1.37749,1.36294,1.36643,-0.009369999999999878,0.009369999999999878,,,,-0.006810582933565837,0.006810582933565837,,,0.014550000000000063,,,0,0,0,0,0,0,,,,,,
2014-01-03,1.36643,1.36716,1.35821,1.35874,-0.007689999999999975,0.007689999999999975,,,,-0.005627803839201404,0.005627803839201404,,,0.008950000000000014,,,0,0,0,0,0,0,,,,,,
2014-01-06,1.35955,1.36528,1.35712,1.36334,0.0045999999999999375,0.0045999999999999375,,,,0.0033854894976227514,0.0033854894976227514,,,0.008159999999999945,,,0,0,0,0,0,0,,,,,,
2014-01-07,1.36334,1.36562,1.35966,1.36138,-0.0019599999999999618,0.0019599999999999618,,,,-0.001437645781683191,0.001437645781683191,,,0.005959999999999965,,,0,0,0,0,0,0,,,,,,
2014-01-08,1.36142,1.36349,1.35533,1.35749,-0.003889999999999949,0.003889999999999949,,,,-0.002857394702434257,0.002857394702434257,,,0.008160000000000167,,,0,0,0,0,0,0,,,,,,
2014-01-09,1.35746,1.36328,1.35484,1.36017,0.0026800000000000157,0.0026800000000000157,,,,0.0019742318543783124,0.0019742318543783124,,,0.008440000000000003,,,0,0,0,0,0,0,,,,,,
2014-01-10,1.36016,1.36871,1.35721,1.36665,0.006479999999999819,0.006479999999999819,,,,0.004764110368556738,0.004764110368556738,,,0.011500000000000066,,,0,0,0,0,0,0,,,,,,
2014-01-13,1.36662,1.36846,1.36373,1.3668,0.0001500000000000945,0.0001500000000000945,,,,0.00010975743606636265,0.00010975743606636265,,,0.004729999999999901,,,0,0,0,0,0,0,,,,,,
2014-01-14,1.3668,1.36992,1.3649,1.36722,0.00042000000000008697,0.00042000000000008697,,,,0.0003072870939421181,0.0003072870939421181,,,0.0050200000000000244,,,0,0,0,0,0,0,,,,,,
2014-01-15,1.36728,1.3676,1.35812,1.36042,-0.006800000000000139,0.006800000000000139,,,,-0.004973596056230993,0.004973596056230993,,,0.009479999999999933,,,0,0,0,0,0,0,,,,,,
2014-01-16,1.36043,1.36492,1.3583,1.36162,0.0012000000000000899,0.0012000000000000899,,,,0.000882080533952816,0.000882080533952816,,,0.006619999999999848,,,0,0,0,0,0,0,,,,,,
2014-01-17,1.36163,1.36208,1.35168,1.35405,-0.007570000000000077,0.007570000000000077,,,,-0.005559554060604336,0.005559554060604336,,,0.010399999999999965,,,0,0,0,0,0,0,,,,,,
2014-01-20,1.35325,1.35677,1.35074,1.35557,0.0015199999999999658,0.0015199999999999658,,,,0.0011225582511723835,0.0011225582511723835,,,0.00602999999999998,,,0,0,0,0,0,0,,,,,,
2014-01-21,1.35557,1.35687,1.35162,1.35591,0.00034000000000000696,0.00034000000000000696,,,,0.00025081699949099415,0.00025081699949099415,,,0.005249999999999977,,,0,0,0,0,0,0,,,,,,
2014-01-22,1.35588,1.35832,1.35344,1.35447,-0.0014399999999998858,0.0014399999999998858,,,,-0.001062017390534686,0.001062017390534686,,,0.0048799999999999955,,,0,0,0,0,0,0,,,,,,
2014-01-23,1.35451,1.36981,1.35303,1.36931,0.014839999999999964,0.014839999999999964,,,,0.010956315016205575,0.010956315016205575,,,0.016780000000000017,,,0,0,0,0,0,0,,,,,,
2014-01-24,1.3693,1.37393,1.36627,1.36752,-0.0017899999999999583,0.0017899999999999583,,,,-0.001307227727833696,0.001307227727833696,,,0.00766,,,0,0,0,0,0,0,,,,,,
2014-01-27,1.368,1.37163,1.36529,1.36728,-0.00024000000000001798,0.00024000000000001798,,,,-0.00017550017550018864,0.00017550017550018864,,,0.006340000000000012,,,0,0,0,0,0,0,,,,,,
2014-01-28,1.3673,1.36882,1.3629,1.36517,-0.0021100000000000563,0.0021100000000000563,,,,-0.001543209876543251,0.001543209876543251,,,0.005919999999999925,,,0,0,0,0,0,0,,,,,,
2014-01-29,1.36519,1.36845,1.36029,1.36608,0.0009099999999999664,0.0009099999999999664,,,,0.0006665836489228202,0.0006665836489228202,,,0.008159999999999945,,,0,0,0,0,0,0,,,,,,
2014-01-30,1.36609,1.36642,1.35434,1.35565,-0.01042999999999994,0.01042999999999994,,,,-0.0076349847739517005,0.0076349847739517005,,,0.012079999999999869,,,0,0,0,0,0,0,,,,,,
2014-01-31,1.35567,1.35733,1.3479,1.34849,-0.007160000000000055,0.007160000000000055,,,,-0.005281599232840375,0.005281599232840375,,,0.009429999999999827,,,0,0,0,0,0,0,,,,,,
2014-02-03,1.34855,1.35353,1.3477,1.35258,0.004089999999999927,0.004089999999999927,,,,0.003033022121039034,0.003033022121039034,,,0.005830000000000002,,,0,0,0,0,0,0,,,,,,
2014-02-04,1.3526,1.35384,1.34934,1.35143,-0.0011499999999999844,0.0011499999999999844,,,,-0.000850226973635559,0.000850226973635559,,,0.0044999999999999485,,,0,0,0,0,0,0,,,,,,
2014-02-05,1.35147,1.35552,1.34986,1.35361,0.0021800000000000708,0.0021800000000000708,,,,0.00161310611722403,0.00161310611722403,,,0.005659999999999998,,,0,0,0,0,0,0,,,,,,
2014-02-06,1.35361,1.36188,1.34841,1.35898,0.005370000000000097,0.005370000000000097,,,,0.003967169273276717,0.003967169273276717,,,0.013469999999999871,,,0,0,0,0,0,0,,,,,,
2014-02-07,1.35898,1.36425,1.35516,1.36342,0.0044399999999999995,0.0044399999999999995,,,,0.003267156249540096,0.003267156249540096,,,0.009090000000000042,,,0,0,0,0,0,0,,,,,,
2014-02-10,1.36232,1.36513,1.36179,1.36442,0.0009999999999998899,0.0009999999999998899,,,,0.000733449707353486,0.000733449707353486,,,0.0033399999999998986,,,0,0,0,0,0,0,,,,,,
2014-02-11,1.36441,1.36827,1.36291,1.36372,-0.0006999999999999229,0.0006999999999999229,,,,-0.00051303850720447,0.00051303850720447,,,0.005360000000000031,,,0,0,0,0,0,0,,,,,,
2014-02-12,1.36375,1.36525,1.3562,1.35948,-0.0042400000000000215,0.0042400000000000215,,,,-0.0031091426392514747,0.0031091426392514747,,,0.009050000000000002,,,0,0,0,0,0,0,,,,,,
2014-02-13,1.35952,1.36916,1.35852,1.36787,0.008389999999999898,0.008389999999999898,,,,0.006171477329567112,0.006171477329567112,,,0.010639999999999983,,,0,0,0,0,0,0,,,,,,
2014-02-14,1.36785,1.37145,1.36735,1.36918,0.0013100000000001444,0.0013100000000001444,,,,0.0009576933480521866,0.0009576933480521866,,,0.0040999999999999925,,,0,0,0,0,0,0,,,,,,
2014-02-17,1.37007,1.3724,1.36919,1.37047,0.0012900000000000134,0.0012900000000000134,,,,0.0009421697658452601,0.0009421697658452601,,,0.003210000000000157,,,0,0,0,0,0,0,,,,,,
2014-02-18,1.37047,1.37696,1.36943,1.37604,0.005569999999999853,0.005569999999999853,,,,0.004064299109064666,0.004064299109064666,,,0.007530000000000037,,,0,0,0,0,0,0,,,,,,
2014-02-19,1.37601,1.3773,1.37242,1.37321,-0.002829999999999888,0.002829999999999888,,,,-0.002056626260864429,0.002056626260864429,,,0.0048799999999999955,,,0,0,0,0,0,0,,,,,,
2014-02-20,1.37322,1.37623,1.36857,1.37202,-0.0011900000000000244,0.0011900000000000244,,,,-0.0008665826785415373,0.0008665826785415373,,,0.00766,,,0,0,0,0,0,0,,,,,,
2014-02-21,1.37208,1.37583,1.37018,1.3738,0.0017799999999998928,0.0017799999999998928,,,,0.0012973571813821175,0.0012973571813821175,,,0.005650000000000155,,,0,0,0,0,0,0,,,,,,
2014-02-24,1.37382,1.3771,1.37081,1.37336,-0.00043999999999999595,0.00043999999999999595,,,,-0.0003202795166690901,0.0003202795166690901,,,0.006289999999999907,,,0,0,0,0,0,0,,,,,,
2014-02-25,1.37337,1.37668,1.37152,1.37447,0.0011100000000001664,0.0011100000000001664,,,,0.0008082367332674364,0.0008082367332674364,,,0.005159999999999831,,,0,0,0,0,0,0,,,,,,
2014-02-26,1.37449,1.37569,1.36614,1.36831,-0.006160000000000165,0.006160000000000165,,,,-0.004481727502237346,0.004481727502237346,,,0.00955000000000017,,,0,0,0,0,0,0,,,,,,
2014-02-27,1.36831,1.37266,1.3643,1.3708,0.0024900000000001032,0.0024900000000001032,,,,0.001819763065387305,0.001819763065387305,,,0.008359999999999923,,,0,0,0,0,0,0,,,,,,
2014-02-28,1.37081,1.38241,1.3694,1.38016,0.009360000000000035,0.009360000000000035,,,,0.006828129559381409,0.006828129559381409,,,0.013009999999999966,,,0,0,0,0,0,0,,,,,,
2014-03-03,1.37856,1.37924,1.3726,1.37361,-0.006550000000000056,0.006550000000000056,,,,-0.004745826570832407,0.004745826570832407,,,0.006639999999999979,,,0,0,0,0,0,0,,,,,,
2014-03-04,1.37362,1.37812,1.37206,1.37395,0.00034000000000000696,0.00034000000000000696,,,,0.0002475229504735747,0.0002475229504735747,,,0.006059999999999954,,,0,0,0,0,0,0,,,,,,
2014-03-05,1.37396,1.37491,1.37072,1.37361,-0.00034000000000000696,0.00034000000000000696,,,,-0.00024746169802395063,0.00024746169802395063,,,0.004190000000000138,,,0,0,0,0,0,0,,,,,,
2014-03-06,1.37361,1.38723,1.3721,1.38596,0.012350000000000083,0.012350000000000083,,,,0.008990907171613546,0.008990907171613546,,,0.015129999999999866,,,0,0,0,0,0,0,,,,,,
2014-03-07,1.38599,1.39146,1.38522,1.38746,0.0014999999999998348,0.0014999999999998348,,,,0.001082282316949865,0.001082282316949865,,,0.006240000000000023,,,0,0,0,0,0,0,,,,,,
2014-03-10,1.38761,1.38976,1.38614,1.38769,0.0002300000000001745,0.0002300000000001745,,,,0.00016577054473655063,0.00016577054473655063,,,0.0036200000000001786,,,0,0,0,0,0,0,,,,,,
2014-03-11,1.38767,1.38784,1.38335,1.38545,-0.0022400000000000198,0.0022400000000000198,,,,-0.0016141933717184816,0.0016141933717184816,,,0.004489999999999883,,,0,0,0,0,0,0,,,,,,
2014-03-12,1.38545,1.39142,1.38432,1.39018,0.004729999999999901,0.004729999999999901,,,,0.003414053195712513,0.003414053195712513,,,0.007100000000000106,,,0,0,0,0,0,0,,,,,,
2014-03-13,1.39018,1.39666,1.38454,1.38676,-0.0034199999999999786,0.0034199999999999786,,,,-0.0024601130788818562,0.0024601130788818562,,,0.012119999999999909,,,0,0,0,0,0,0,,,,,,
2014-03-14,1.38676,1.39374,1.38473,1.39134,0.0045800000000000285,0.0045800000000000285,,,,0.003302662320805351,0.003302662320805351,,,0.009009999999999962,,,0,0,0,0,0,0,,,,,,
