date,open,high,low,close,TR,ATR,CI,trend
2015.07.23,1.56081,1.56705,1.55007,1.55113,0.016979999999999995,0.012290714285714282,58.630787044008905,0
2015.07.24,1.55112,1.55258,1.54663,1.55054,0.005950000000000122,0.01202642857142858,58.880263336043356,0
2015.07.27,1.55125,1.5595,1.54896,1.55587,0.010540000000000216,0.011377142857142879,59.01942109806005,0
2015.07.28,1.55585,1.56278,1.55278,1.56121,0.010000000000000009,0.011113571428571454,60.553083281005584,0
2015.07.29,1.56121,1.56894,1.55876,1.55966,0.010180000000000078,0.011290714285714312,61.36168319955224,0
2015.07.30,1.55946,1.56401,1.55622,1.55968,0.007789999999999964,0.01051214285714289,72.84933612110588,0
2015.07.31,1.55965,1.56782,1.55491,1.56174,0.012909999999999977,0.010659285714285744,72.66082541270183,0
2015.08.03,1.56272,1.56446,1.55648,1.5583,0.007979999999999876,0.009885000000000017,74.7936086657681,0
2015.08.04,1.55822,1.56336,1.55578,1.55586,0.007580000000000142,0.009720714285714305,74.28015522376587,0
2015.08.05,1.55589,1.56507,1.5526,1.56014,0.012469999999999981,0.009966428571428598,73.76328562515302,0
2015.08.06,1.5601,1.56366,1.54668,1.55113,0.016979999999999995,0.010325714285714303,73.341676002012,0
2015.08.07,1.55116,1.55449,1.54243,1.54909,0.01205999999999996,0.010550714285714302,66.42434669839047,0
2015.08.10,1.54874,1.56058,1.54579,1.55865,0.01479000000000008,0.011166428571428593,66.32657692862881,0
2015.08.11,1.55852,1.56163,1.55549,1.55652,0.006140000000000034,0.010882142857142887,66.11547810785113,0
2015.08.12,1.55655,1.56598,1.55339,1.56089,0.012589999999999879,0.010568571428571451,65.68304558419844,0
2015.08.13,1.56091,1.56365,1.55733,1.56055,0.006319999999999881,0.010595000000000005,65.31981768863247,0
2015.08.14,1.56056,1.56597,1.55878,1.56449,0.00719000000000003,0.010355714285714277,65.05848275844968,0
2015.08.17,1.56468,1.56884,1.55788,1.55812,0.01096000000000008,0.01042428571428571,64.8811033035176,0
2015.08.18,1.55824,1.5717,1.55622,1.56557,0.01548000000000016,0.010802857142857145,61.00215923789505,1
2015.08.19,1.56558,1.57001,1.5635,1.56784,0.006510000000000016,0.010711428571428578,61.05369947107048,1
2015.08.20,1.56785,1.57014,1.56058,1.56881,0.009560000000000013,0.010472142857142866,61.00530168865101,1
2015.08.21,1.5689,1.57231,1.56575,1.5688,0.006560000000000121,0.010370714285714313,60.34920970867467,1
2015.08.24,1.5676,1.58026,1.563,1.57752,0.017260000000000053,0.011062142857142878,51.75433258628259,1
2015.08.25,1.5775,1.58188,1.568,1.56868,0.013879999999999892,0.011162857142857157,50.470014649138335,1
