date,open,high,low,close,CI,trend,in_progress,Volatility,Volatility_median,Volatility_status,Volatility_Trend
2015-03-20,1170.71,1187.87,1168.66,1182.41,,0.0,0.0,0.016437629421730708,,Low_Volatility,Low Volatility + No Trend
2015-03-23,1184.27,1191.51,1179.23,1189.4,,0.0,0.0,0.010413574959931457,,Low_Volatility,Low Volatility + No Trend
2015-03-24,1189.53,1194.93,1185.35,1192.95,,0.0,0.0,0.008082001096722618,,Low_Volatility,Low Volatility + No Trend
2015-03-25,1193.0,1199.59,1186.57,1195.05,,0.0,0.0,0.01097280396436787,,Low_Volatility,Low Volatility + No Trend
2015-03-26,1195.54,1219.67,1194.4,1204.56,,0.0,0.0,0.021157066309444056,,Low_Volatility,Low Volatility + No Trend
2015-03-27,1203.92,1205.99,1192.43,1198.54,,0.0,0.0,0.011371736705718529,,Low_Volatility,Low Volatility + No Trend
2015-03-30,1198.57,1199.48,1182.31,1185.89,,0.0,0.0,0.014522417978364451,,Low_Volatility,Low Volatility + No Trend
2015-03-31,1185.38,1190.67,1178.39,1183.39,,0.0,0.0,0.010420998141532066,,Low_Volatility,Low Volatility + No Trend
2015-04-01,1183.36,1208.44,1180.79,1203.8,,0.0,0.0,0.023416526223968778,,Low_Volatility,Low Volatility + No Trend
2015-04-02,1203.91,1207.26,1194.87,1202.72,,0.0,0.0,0.010369328880966215,,Low_Volatility,Low Volatility + No Trend
2015-04-06,1213.43,1224.05,1213.43,1214.74,,0.0,0.0,0.00875204997404044,,Low_Volatility,Low Volatility + No Trend
2015-04-07,1214.27,1215.67,1207.37,1208.93,,0.0,0.0,0.006874446110140374,,Low_Volatility,Low Volatility + No Trend
2015-04-08,1208.54,1212.28,1197.36,1202.14,,0.0,0.0,0.012460746976682096,,Low_Volatility,Low Volatility + No Trend
2015-04-09,1202.73,1203.18,1192.52,1194.46,,0.0,0.0,0.00893905343306618,,Low_Volatility,Low Volatility + No Trend
2015-04-10,1194.07,1210.66,1193.16,1207.5,,0.0,0.0,0.014666934862047001,,Low_Volatility,Low Volatility + No Trend
2015-04-13,1206.75,1209.4,1196.2,1197.77,,0.0,0.0,0.011034943989299486,,Low_Volatility,Low Volatility + No Trend
2015-04-14,1198.9,1201.39,1183.86,1192.45,,0.0,0.0,0.014807494129373575,,Low_Volatility,Low Volatility + No Trend
