date,open,high,low,close,CI,trend,in_progress,Volatility,Volatility_median,Volatility_status,Volatility_Trend
2015-02-13,1223.45,1234.82,1222.71,1228.99,51.86754941898054,0.0,0.5,0.00990422913037425,0.01170833439531395,Low_Volatility,Low Volatility + Possible Trend False
2015-02-16,1228.34,1236.59,1228.02,1230.79,53.501070065084605,0.0,0.5,0.006978713701731191,0.01170833439531395,Low_Volatility,Low Volatility + Possible Trend False
2015-02-17,1231.86,1233.84,1203.64,1209.18,51.25579987208752,0.0,0.5,0.0250905586387955,0.01170833439531395,High_Volatility,High Volatility + Possible Trend False
2015-02-18,1208.9,1213.3,1197.42,1211.83,48.23261057107557,0.0,0.5,0.013261846302884435,0.011762413290957039,High_Volatility,High Volatility + Possible Trend False
2015-02-19,1212.47,1222.81,1205.25,1206.77,47.712898544307976,0.0,0.5,0.014569591371084791,0.011762413290957039,High_Volatility,High Volatility + Possible Trend False
2015-02-20,1207.31,1215.29,1198.19,1201.66,47.194091760366135,0.0,0.5,0.01427152621871315,0.011832592807615137,High_Volatility,High Volatility + Possible Trend False
2015-02-23,1202.87,1210.22,1190.61,1201.03,48.630466810321366,0.0,0.5,0.016470548710325068,0.011873747150205194,High_Volatility,High Volatility + Possible Trend False
2015-02-24,1202.16,1204.42,1190.3,1199.81,47.75181333275681,0.0,0.5,0.011862555658237519,0.011867574590373312,Low_Volatility,Low Volatility + Possible Trend False
2015-02-25,1201.16,1211.77,1200.99,1204.51,49.59849031366218,0.0,0.5,0.008975928192574437,0.011827573875479343,Low_Volatility,Low Volatility + Possible Trend False
2015-02-26,1204.67,1219.84,1203.49,1209.12,61.68157856494944,0.0,0.0,0.013585488869870052,0.011867574590373312,High_Volatility,High Volatility + No Trend
2015-02-27,1209.56,1219.17,1204.34,1212.78,60.72165623168984,0.0,0.0,0.012313798429015192,0.011867574590373312,High_Volatility,High Volatility + No Trend
2015-03-02,1213.85,1223.18,1204.54,1206.79,65.19529302495108,0.0,0.0,0.01547478705563958,0.011867574590373312,High_Volatility,High Volatility + No Trend
2015-03-03,1205.89,1214.76,1195.34,1203.4,66.00102049389005,0.0,0.0,0.016246423611692134,0.011867574590373312,High_Volatility,High Volatility + No Trend
2015-03-04,1204.71,1209.01,1198.21,1200.13,65.15856023485581,0.0,0.0,0.009013445055541145,0.011867574590373312,Low_Volatility,Low Volatility + No Trend
2015-03-05,1200.25,1209.35,1196.35,1198.47,64.41452307083566,0.0,0.0,0.010866385255151085,0.011827573875479343,Low_Volatility,Low Volatility + No Trend
2015-03-06,1199.08,1200.66,1163.81,1167.13,48.45617363074326,0.0,0.5,0.03166324400030945,0.011867574590373312,High_Volatility,High Volatility + Possible Trend False
2015-03-09,1168.52,1175.29,1165.66,1166.6,54.042485384027735,0.0,0.5,0.008261414134481651,0.011827573875479343,Low_Volatility,Low Volatility + Possible Trend False
2015-03-10,1161.56,1170.45,1154.93,1161.63,48.27368791570062,0.0,0.5,0.013438043864130278,0.011827573875479343,High_Volatility,High Volatility + Possible Trend False
2015-03-11,1162.4,1165.19,1147.42,1154.43,43.94051753063847,0.0,0.5,0.01548691847797666,0.011827573875479343,High_Volatility,High Volatility + Possible Trend False
2015-03-12,1154.95,1166.58,1148.57,1153.52,43.57134969935514,0.0,0.5,0.015680367761651437,0.011827573875479343,High_Volatility,High Volatility + Possible Trend False
2015-03-13,1154.14,1161.83,1151.32,1158.18,43.21522727174574,0.0,0.5,0.009128652329500045,0.011827573875479343,Low_Volatility,Low Volatility + Possible Trend False
2015-03-16,1156.68,1163.97,1150.23,1154.52,42.87059596429947,0.0,0.5,0.011945436999556618,0.011867574590373312,High_Volatility,High Volatility + Possible Trend False
2015-03-17,1154.64,1159.74,1142.7,1149.24,40.35759920557964,0.0,0.5,0.01491205040693092,0.011867574590373312,High_Volatility,High Volatility + Possible Trend False
2015-03-18,1149.37,1175.5,1145.84,1167.43,40.5667333557634,0.0,0.5,0.02588494030580193,0.011873747150205194,High_Volatility,High Volatility + Possible Trend False
2015-03-19,1167.7,1177.71,1159.49,1170.81,40.764284269230245,0.0,0.5,0.015713805207461923,0.011873747150205194,High_Volatility,High Volatility + Possible Trend False
2015-03-20,1170.66,1187.88,1168.65,1182.22,45.113231770830325,0.0,0.5,0.0164548838403286,0.011873747150205194,High_Volatility,High Volatility + Possible Trend False
2015-03-23,1185.8,1191.47,1179.23,1189.32,48.18100247911225,0.0,0.5,0.010379654520322591,0.011873747150205194,Low_Volatility,Low Volatility + Possible Trend False
2015-03-24,1189.57,1194.91,1185.34,1193.1,48.332146930007646,0.0,0.5,0.008073632881704967,0.011867574590373312,Low_Volatility,Low Volatility + Possible Trend False
2015-03-25,1192.18,1199.57,1186.52,1195.17,53.77293169763392,0.0,0.5,0.010998550382631523,0.011867574590373312,Low_Volatility,Low Volatility + Possible Trend False
2015-03-26,1195.13,1219.57,1194.39,1204.54,42.76785800814911,0.0,0.5,0.02108189117457433,0.011873747150205194,High_Volatility,High Volatility + Possible Trend False
2015-03-27,1204.32,1206.05,1192.45,1198.09,42.74040017689623,0.0,0.5,0.011405090360182741,0.011873747150205194,Low_Volatility,Low Volatility + Possible Trend False
2015-03-30,1197.39,1198.3,1182.23,1185.61,42.72330018916556,0.0,0.5,0.013592955685441865,0.011873747150205194,High_Volatility,High Volatility + Possible Trend False
2015-03-31,1186.04,1190.62,1178.29,1183.57,42.64168401968204,0.0,0.5,0.010464316933861722,0.011873747150205194,Low_Volatility,Low Volatility + Possible Trend False
