date,open,high,low,close,CI,trend,in_progress,Volatility,Volatility_median,Volatility_status,Volatility_Trend,Volatility_Trend_actionable,typical_spread_in_points,weighted_avg_execution_spread_$,volume_spreads_df,PnL_per_lot,total_profit,total_volume
2023-02-13,1.2063,1.2152,1.20308,1.21381,46.95190334146663,0.0,0.5,0.010074143032882378,0.010080322567287522,Low_Volatility,Low Volatility + Possible Trend False,Low Volatility + Possible Trend False,12.999999999999998,12.889575768661713,5465.356908621486,11.34,142875.45,12603.51
2023-02-14,1.21342,1.22703,1.21171,1.21729,46.6870975175832,0.0,0.5,0.012643289235873269,0.01012010843769516,High_Volatility,High Volatility + Possible Trend False,Low Volatility + Possible Trend False,12.999999999999998,15.196064501205994,7734.880561531416,-17.46,-340515.22,19497.93
2023-02-15,1.21669,1.21814,1.19894,1.2032,47.85453878758783,0.0,0.5,0.016014145828815544,0.0101631098293402,High_Volatility,High Volatility + Possible Trend False,High Volatility + Possible Trend False,12.999999999999998,15.586781990633764,6866.682903437737,-32.15,-447271.0,13912.51
2023-02-16,1.20237,1.20742,1.19652,1.19907,48.30764864333087,0.0,0.5,0.00910975161301099,0.01012010843769516,Low_Volatility,Low Volatility + Possible Trend False,High Volatility + Possible Trend False,12.999999999999998,14.51996293014094,6251.5645544351855,14.84,217764.77,14677.48
2023-02-17,1.19878,1.20493,1.19149,1.20401,46.36241784266608,0.0,0.5,0.011279993957146194,0.01012010843769516,High_Volatility,High Volatility + Possible Trend False,Low Volatility + Possible Trend False,12.999999999999998,13.486667913656486,5589.6750938388695,-74.12,-870034.5,11738.86
2023-02-20,1.20227,1.20569,1.20144,1.20383,46.73179181192262,0.0,0.5,0.003537421760553889,0.01012010843769516,Low_Volatility,Low Volatility + Possible Trend False,High Volatility + Possible Trend False,13.999999999999998,14.994901951011055,3030.6407533110964,16.3,92184.36,5656.02
2023-02-21,1.20369,1.21476,1.1986,1.21112,47.21854176593043,0.0,0.5,0.013482396128816913,0.01012010843769516,High_Volatility,High Volatility + Possible Trend False,Low Volatility + Possible Trend False,12.999999999999998,15.239013784722086,8675.34094017311,6.29,111919.7,17786.72
2023-02-22,1.21115,1.21353,1.20344,1.20456,59.31106670940181,0.0,0.5,0.008384298344745007,0.010080322567287522,Low_Volatility,Low Volatility + Possible Trend False,High Volatility + Possible Trend False,12.0,13.682906283986048,6053.441450063833,22.63,302479.57,13365.97
2023-02-23,1.20437,1.20749,1.19921,1.20135,59.15953041319471,0.0,0.5,0.006904545492449064,0.010080322567287522,Low_Volatility,Low Volatility + Possible Trend False,Low Volatility + Possible Trend False,12.999999999999998,13.958803775519716,6429.180627908721,21.25,294331.29,13848.63
2023-02-24,1.20105,1.20421,1.19283,1.19392,59.16895928496122,0.0,0.5,0.009540336845988066,0.010080322567287522,Low_Volatility,Low Volatility + Possible Trend False,Low Volatility + Possible Trend False,13.999999999999998,15.642574218684288,5845.316262591737,-7.26,-90370.43,12446.99
2023-02-27,1.195,1.20658,1.19226,1.20619,59.26885696788561,0.0,0.5,0.012010803012765577,0.01012010843769516,High_Volatility,High Volatility + Possible Trend False,Low Volatility + Possible Trend False,12.999999999999998,14.081896970375531,5913.68343478144,0.05,669.69,14301.47
2023-02-28,1.20615,1.21431,1.20209,1.20214,59.44360191922362,0.0,0.5,0.010165628197555837,0.010159671485626746,High_Volatility,High Volatility + Possible Trend False,High Volatility + Possible Trend False,12.999999999999998,13.291604670885286,7151.105341486528,-1.22,-19184.29,15725.28
2023-03-01,1.20215,1.2089,1.1965,1.20257,59.488786663203626,0.0,0.5,0.010363560384454818,0.01016906654126929,High_Volatility,High Volatility + Possible Trend False,High Volatility + Possible Trend False,12.999999999999998,13.989604091381954,9599.795189556073,29.06,567185.01,19519.34
2023-03-02,1.20256,1.20362,1.19249,1.19478,59.61454428382312,0.0,0.5,0.00933341160093574,0.01016906654126929,Low_Volatility,Low Volatility + Possible Trend False,High Volatility + Possible Trend False,,13.761369344283152,9721.97606424117,29.72,605382.01,20368.28
2023-03-03,1.19472,1.20484,1.19319,1.20435,59.77905875095166,0.0,0.5,0.009763742572431833,0.01016906654126929,Low_Volatility,Low Volatility + Possible Trend False,Low Volatility + Possible Trend False,,13.440498314482523,8620.972143148654,20.56,311484.76,15153.35
2023-03-06,1.20207,1.20489,1.19927,1.20262,70.64793512524992,0.0,0.0,0.004686184095324621,0.01016906654126929,Low_Volatility,Low Volatility + No Trend,Low Volatility + Possible Trend False,,14.330466076982134,6297.435833633868,30.16,419833.72,13919.09
2023-03-07,1.20245,1.20653,1.18212,1.18266,62.84058118348208,0.0,0.0,0.020649341860386458,0.010187779121586494,High_Volatility,High Volatility + No Trend,Low Volatility + No Trend,,14.440695396401969,11914.271348786117,-114.3,-2647705.4,23165.53
2023-03-08,1.18249,1.18591,1.1803,1.18429,60.51843629860194,0.0,0.0,0.004753028890960023,0.010187779121586494,Low_Volatility,Low Volatility + No Trend,High Volatility + No Trend,,14.369443431546287,6743.506714242898,-10.09,-133832.69,13257.35
2023-03-09,1.18428,1.19388,1.18238,1.19217,60.1325709802124,0.0,0.0,0.009726145570797939,0.01016906654126929,Low_Volatility,Low Volatility + No Trend,Low Volatility + No Trend,,13.35079834534804,7307.892118173273,11.5,170902.07,14862.83
