date,open,high,low,close,CI,trend,trend_in_progress,Volatility,Volatility_median,Volatility_status,Volatility_Trend,typical_spread_in_points,weighted_avg_execution_spread_$,PnL_per_lot,total_profit,total_volume
2023-02-09,1.07131,1.07902,1.07088,1.07372,45.39138174161506,0.0,0.5,0.007601225160615602,0.009410886970332776,Low_Volatility,Low Volatility + No Trend,12.999999999989999,14.02632811,-1.266108349,-15324.6,12103.7
2023-02-10,1.07369,1.07521,1.06657,1.06764,45.00799014511784,0.0,0.5,0.008100734129030425,0.009387351527711254,Low_Volatility,Low Volatility + No Trend,13.999999999999998,14.27433345,-0.014066684,-157.99,11231.59
2023-02-13,1.06821,1.07294,1.06549,1.07238,43.91335380824823,0.0,0.5,0.00699208814723738,0.00937562413119132,Low_Volatility,Low Volatility + No Trend,12.999999999989999,14.11464787,-10.11096561,-120401.28,11907.99
2023-02-14,1.07227,1.08037,1.07061,1.0735,44.10184305063773,0.0,0.5,0.009116298185146776,0.00937562413119132,Low_Volatility,Low Volatility + No Trend,12.999999999989999,16.26731895,-5.050862156,-78057.29,15454.25
2023-02-15,1.07346,1.07439,1.06599,1.06871,44.49818886284785,0.0,0.5,0.00787999887428584,0.00937562413119132,Low_Volatility,Low Volatility + No Trend,12.999999999989999,14.98664852,-2.755967072,-27747.21,10068.05
2023-02-16,1.06864,1.07217,1.06539,1.06723,44.9385576248984,0.0,0.5,0.006363866753020028,0.009367653807594557,Low_Volatility,Low Volatility + No Trend,12.999999999989999,14.68476747,4.078836837,46078.82,11297.05
2023-02-17,1.06707,1.06978,1.0612,1.0693,41.45930430246762,0.0,0.5,0.008085186581228828,0.009348269260951333,Low_Volatility,Low Volatility + No Trend,13.999999999999998,14.04451823,-42.12612445,-423511.62,10053.42
2023-02-20,1.06848,1.07039,1.06696,1.06843,41.81965307374136,0.0,0.5,0.003214740946239826,0.009307000678481631,Low_Volatility,Low Volatility + No Trend,12.999999999989999,14.06879663,7.20602972,41082.15,5701.08
2023-02-21,1.06832,1.06973,1.0637,1.06452,41.96496516347148,0.0,0.5,0.005668891604775763,0.009273119962908253,Low_Volatility,Low Volatility + No Trend,11.0,11.61239011,14.19520982,221694.68,15617.57
2023-02-22,1.0645,1.06636,1.05987,1.06041,49.75639700695315,0.0,0.5,0.006123392491531871,0.009256542074179256,Low_Volatility,Low Volatility + No Trend,9.999999999998897,9.957430105,14.58192529,245235.76,16817.79
2023-02-23,1.0604,1.06273,1.05766,1.05953,64.61635439177913,0.0,0.0,0.004793600968174941,0.009185919237491253,Low_Volatility,Low Volatility + No Trend,9.999999999998897,9.870166603,10.98275772,205404.04,18702.41
2023-02-24,1.05926,1.06138,1.05357,1.05446,57.78802982146974,0.0,0.5,0.007412891407310473,0.009185919237491253,Low_Volatility,Low Volatility + No Trend,9.999999999998897,10.74768881,-16.48583306,-284442.44,17253.75
2023-02-27,1.05453,1.06194,1.05326,1.06085,56.82019989900549,0.0,0.5,0.008241080075195127,0.009185919237491253,Low_Volatility,Low Volatility + No Trend,9.999999999998897,9.92831244,-3.482921219,-56664.97,16269.38
2023-02-28,1.0606,1.06448,1.05735,1.05749,56.3397687953043,0.0,0.5,0.006743273277533533,0.009185919237491253,Low_Volatility,Low Volatility + No Trend,9.999999999998897,10.41691165,-1.627635148,-28229.79,17344.05
2023-03-01,1.05737,1.06908,1.0565,1.0669,55.898182632587,0.0,0.5,0.011907240889730275,0.009256542074179256,High_Volatility,High Volatility + No Trend,9.999999999998897,10.62084729,-13.33861196,-280386.76,21020.56
2023-03-02,1.06676,1.06724,1.0576,1.05969,55.46086243274358,0.0,0.5,0.009114977307110316,0.009185919237491253,Low_Volatility,Low Volatility + No Trend,,9.613208565,-3.309433896,-58750.99,17752.58
2023-03-03,1.05968,1.06383,1.05879,1.06329,54.934902950292766,0.0,0.5,0.004760150738106854,0.009118302816152155,Low_Volatility,Low Volatility + No Trend,,10.18896356,7.921237667,107248.33,13539.34
2023-03-06,1.06245,1.0694,1.06218,1.06822,63.7094627118681,0.0,0.0,0.006797341316914275,0.009118302816152155,Low_Volatility,Low Volatility + No Trend,,10.27684536,3.740388625,64215.74,17168.2
2023-03-07,1.06791,1.0694,1.05455,1.05485,67.3792263516383,0.0,0.0,0.014081835854155617,0.009185919237491253,High_Volatility,High Volatility + No Trend,,10.63652447,-5.38136483,-118345.63,21991.75
2023-03-08,1.0546,1.05735,1.05239,1.05432,68.64576149553572,0.0,0.0,0.004713081652239261,0.009185919237491253,Low_Volatility,Low Volatility + No Trend,,10.90401123,-24.77261979,-342677.42,13832.91
2023-03-09,1.05432,1.05908,1.05376,1.05812,67.92398123116111,0.0,0.0,0.005048587913756445,0.009185919237491253,Low_Volatility,Low Volatility + No Trend,,10.89168924,14.94720948,194866.77,13037.0
2023-03-10,1.05793,1.07003,1.05736,1.06383,68.28798187621766,0.0,0.0,0.011982673829159376,0.009256542074179256,High_Volatility,High Volatility + No Trend,,11.77080191,3.142394139,60151.96,19142.08
2023-03-12,1.06803,1.06932,1.06748,1.06929,68.09413419525622,0.0,0.0,0.0017236856896616927,0.009256542074179256,Low_Volatility,Low Volatility + No Trend,,40.11695692,-53.34546434,-72279.37,1354.93
2023-03-13,1.06933,1.07481,1.06499,1.07279,59.10950957612026,0.5,0.5,0.009220743856749772,0.009256542074179256,Low_Volatility,Low Volatility + No Trend,,10.12220031,7.562417829,144894.64,19159.83
2023-03-14,1.07277,1.07491,1.06783,1.07307,59.337101005946096,0.5,0.5,0.006630268863021244,0.009236137442287372,Low_Volatility,Low Volatility + No Trend,,11.50097014,11.16655504,196576.37,17604.03
2023-03-15,1.07311,1.07595,1.05156,1.05749,57.14433758034468,0.5,0.5,0.02319411160561443,0.009256542074179256,High_Volatility,High Volatility + No Trend,,11.39191232,-44.6054463,-1172847.13,26293.81
2023-03-16,1.0575,1.06353,1.05498,1.06112,57.97854689059733,0.5,0.5,0.008104419041119318,0.009236137442287372,Low_Volatility,Low Volatility + No Trend,,11.22428292,15.573333,255743.25,16421.87
2023-03-17,1.06112,1.0685,1.06082,1.06637,58.76090881786072,0.5,0.5,0.007239682509756517,0.009236137442287372,Low_Volatility,Low Volatility + No Trend,,10.23104709,2.61346926,38495.2,14729.54
2023-03-19,1.06877,1.06877,1.06817,1.06818,59.18872608308448,0.5,0.5,0.0005617083423050019,0.009236137442287372,Low_Volatility,Low Volatility + No Trend,,35.48928221,-8.964526818,-6519.99,727.31
2023-03-20,1.06817,1.07304,1.06307,1.07196,59.59634478491908,0.5,0.5,0.009378498123359736,0.009256542074179256,High_Volatility,High Volatility + No Trend,,10.79505888,4.080762437,57526.1,14096.9
2023-03-21,1.07195,1.07882,1.07036,1.07681,55.91678107424589,0.5,0.5,0.007903882805784888,0.009256542074179256,Low_Volatility,Low Volatility + No Trend,,9.356894808,-19.34852592,-266906.53,13794.67
2023-03-22,1.07682,1.09119,1.07587,1.08584,42.504578104889625,0.5,0.5,0.014239638618048648,0.009273119962908253,High_Volatility,High Volatility + No Trend,,13.32249101,-52.56563024,-1130589.46,21508.15
2023-03-23,1.08584,1.09294,1.08236,1.08318,41.38332696531391,0.5,0.5,0.00977493625041579,0.009307000678481631,High_Volatility,High Volatility + No Trend,,10.38716223,-7.860621125,-119414.39,15191.47
2023-03-24,1.08317,1.08376,1.07113,1.07592,42.09743414023079,0.5,0.5,0.011791285838320412,0.009348269260951333,High_Volatility,High Volatility + No Trend,,10.18631401,8.920206393,128811.17,14440.38
2023-03-27,1.07744,1.07998,1.07446,1.07979,42.87140658678716,0.5,0.5,0.005137464400722195,0.009348269260951333,Low_Volatility,Low Volatility + No Trend,,10.12958628,4.290841631,48698.95,11349.51
2023-03-28,1.07969,1.08481,1.07942,1.08448,43.28668109738704,0.5,0.5,0.00499342239350763,0.009348269260951333,Low_Volatility,Low Volatility + No Trend,,10.10804393,0.708966576,11656.24,16441.17
2023-03-29,1.08439,1.08711,1.08174,1.08432,43.70612345761575,0.5,0.5,0.004964224305286018,0.009307000678481631,Low_Volatility,Low Volatility + No Trend,,10.18592067,3.710569547,60013.75,16173.73
2023-03-30,1.08428,1.09258,1.08232,1.09043,44.06192827332261,0.5,0.5,0.009479636336758222,0.009348269260951333,High_Volatility,High Volatility + No Trend,,10.37211243,-10.61082787,-175592.33,16548.41
