date,open,high,low,close,trend,Volatility,Volatility_median,Volatility_status,Volatility_Trend
2015-03-20,1170.71,1187.87,1168.66,1182.41,0,0.016437629421730708,,Low_Volatility,Low Volatility + No Trend
2015-03-23,1184.27,1191.51,1179.23,1189.4,0,0.010413574959931457,,Low_Volatility,Low Volatility + No Trend
2015-03-24,1189.53,1194.93,1185.35,1192.95,0,0.008082001096722618,,Low_Volatility,Low Volatility + No Trend
2015-03-25,1193.0,1199.59,1186.57,1195.05,0,0.01097280396436787,,Low_Volatility,Low Volatility + No Trend
2015-03-26,1195.54,1219.67,1194.4,1204.56,0,0.021157066309444056,,Low_Volatility,Low Volatility + No Trend
2015-03-27,1203.92,1205.99,1192.43,1198.54,0,0.011371736705718529,,Low_Volatility,Low Volatility + No Trend
2015-03-30,1198.57,1199.48,1182.31,1185.89,0,0.014522417978364451,,Low_Volatility,Low Volatility + No Trend
2015-03-31,1185.38,1190.67,1178.39,1183.39,0,0.010420998141532066,,Low_Volatility,Low Volatility + No Trend
2015-04-01,1183.36,1208.44,1180.79,1203.8,0,0.023416526223968778,,Low_Volatility,Low Volatility + No Trend
2015-04-02,1203.91,1207.26,1194.87,1202.72,0,0.010369328880966215,,Low_Volatility,Low Volatility + No Trend
2015-04-06,1213.43,1224.05,1213.43,1214.74,0,0.00875204997404044,,Low_Volatility,Low Volatility + No Trend
2015-04-07,1214.27,1215.67,1207.37,1208.93,0,0.006874446110140374,,Low_Volatility,Low Volatility + No Trend
2015-04-08,1208.54,1212.28,1197.36,1202.14,0,0.012460746976682096,,Low_Volatility,Low Volatility + No Trend
2015-04-09,1202.73,1203.18,1192.52,1194.46,0,0.00893905343306618,,Low_Volatility,Low Volatility + No Trend
2015-04-10,1194.07,1210.66,1193.16,1207.5,0,0.014666934862047001,,Low_Volatility,Low Volatility + No Trend
2015-04-13,1206.75,1209.4,1196.2,1197.77,0,0.011034943989299486,,Low_Volatility,Low Volatility + No Trend
2015-04-14,1198.9,1201.39,1183.86,1192.45,0,0.014807494129373575,,Low_Volatility,Low Volatility + No Trend
2015-04-15,1192.41,1204.55,1188.8,1202.31,0,0.013248654104979812,,Low_Volatility,Low Volatility + No Trend
2015-04-16,1202.13,1209.01,1194.62,1198.24,0,0.012045671426897341,,Low_Volatility,Low Volatility + No Trend
2015-04-17,1198.87,1207.68,1197.33,1204.15,0,0.008644233419358186,,Low_Volatility,Low Volatility + No Trend
2015-04-20,1204.44,1209.05,1191.29,1195.6,0,0.014908208748499518,,Low_Volatility,Low Volatility + No Trend
2015-04-21,1196.03,1204.18,1193.0,1202.54,0,0.009371332774518076,,Low_Volatility,Low Volatility + No Trend
2015-04-22,1202.43,1204.86,1185.61,1186.67,0,0.01623636777692496,,Low_Volatility,Low Volatility + No Trend
2015-04-23,1187.41,1197.96,1184.25,1193.85,0,0.011576947435085527,,Low_Volatility,Low Volatility + No Trend
2015-04-24,1193.64,1195.92,1175.12,1179.21,0,0.01770031996732264,,Low_Volatility,Low Volatility + No Trend
2015-04-27,1179.72,1207.13,1178.49,1201.92,0,0.024302285127578597,,Low_Volatility,Low Volatility + No Trend
2015-04-28,1202.03,1215.0,1199.15,1212.27,0,0.013217695867906358,,Low_Volatility,Low Volatility + No Trend
2015-04-29,1211.74,1213.93,1201.29,1204.56,0,0.010522022159511943,,Low_Volatility,Low Volatility + No Trend
2015-04-30,1204.99,1207.12,1176.99,1184.03,0,0.02559919795410316,,Low_Volatility,Low Volatility + No Trend
2015-05-01,1184.2,1185.13,1170.22,1178.37,0,0.012741193963528295,,Low_Volatility,Low Volatility + No Trend
2015-05-04,1177.36,1192.78,1177.36,1188.1,0,0.013097098593463405,,Low_Volatility,Low Volatility + No Trend
2015-05-05,1188.06,1199.7,1185.66,1193.1,0,0.011841505996660057,,Low_Volatility,Low Volatility + No Trend
2015-05-06,1192.93,1197.53,1188.15,1191.94,0,0.007894626099398123,,Low_Volatility,Low Volatility + No Trend
2015-05-07,1191.67,1192.69,1178.75,1184.21,0,0.011826086956521785,,Low_Volatility,Low Volatility + No Trend
2015-05-08,1183.78,1193.69,1181.58,1188.43,0,0.010248988642326484,,Low_Volatility,Low Volatility + No Trend
2015-05-11,1189.39,1191.64,1178.81,1183.76,0,0.010883857449461878,,Low_Volatility,Low Volatility + No Trend
2015-05-12,1183.41,1196.96,1180.74,1193.83,0,0.013737147890306103,,Low_Volatility,Low Volatility + No Trend
2015-05-13,1192.99,1218.84,1191.17,1215.55,1,0.02322926198611436,,Low_Volatility,Low Volatility + Trend
2015-05-14,1215.48,1227.15,1212.33,1220.89,1,0.01222439434807368,,Low_Volatility,Low Volatility + Trend
2015-05-15,1221.01,1226.08,1210.93,1224.04,1,0.012511045229699374,,Low_Volatility,Low Volatility + Trend
2015-05-18,1223.54,1232.3,1221.48,1225.15,1,0.008858106559255933,,Low_Volatility,Low Volatility + Trend
2015-05-19,1225.56,1225.56,1205.57,1207.48,1,0.016581368149506052,,Low_Volatility,Low Volatility + Trend
2015-05-20,1207.83,1213.36,1203.15,1209.51,1,0.00848605743257267,,Low_Volatility,Low Volatility + Trend
2015-05-21,1209.71,1212.7,1201.37,1206.02,1,0.00943089972281658,,Low_Volatility,Low Volatility + Trend
2015-05-22,1206.38,1214.77,1201.28,1206.24,1,0.0112296883324454,,Low_Volatility,Low Volatility + Trend
2015-05-25,1204.86,1208.63,1202.83,1206.84,1,0.004821961540700001,,Low_Volatility,Low Volatility + Trend
2015-05-26,1207.07,1207.57,1185.5,1186.95,1,0.018616617460986872,,Low_Volatility,Low Volatility + Trend
2015-05-27,1186.73,1190.94,1183.51,1187.7,1,0.006277935970122824,,Low_Volatility,Low Volatility + Trend
2015-05-28,1187.67,1192.16,1180.19,1187.97,1,0.010142434692718992,,Low_Volatility,Low Volatility + Trend
