date,open,high,low,close,CI,trend,trend_in_progress
2014.11.04,1.24819,1.2577,1.24813,1.25452,,0,0
2014.11.05,1.25443,1.25671,1.24574,1.2485,,0,0
2014.11.06,1.2485,1.25331,1.23649,1.23735,,0,0
2014.11.07,1.23736,1.24694,1.23581,1.24531,,0,0
2014.11.10,1.24705,1.25092,1.24186,1.24204,,0,0
2014.11.11,1.24183,1.24992,1.23942,1.24751,,0,0
2014.11.12,1.24744,1.24977,1.24193,1.24379,,0,0
2014.11.13,1.2438,1.24917,1.24263,1.24759,,0,0
2014.11.14,1.24757,1.2546,1.23986,1.25218,,0,0
2014.11.17,1.25292,1.25773,1.24451,1.24496,,0,0
2014.11.18,1.24492,1.2545,1.24435,1.25359,,0,0
2014.11.19,1.25357,1.25997,1.25122,1.25537,,0,0
2014.11.20,1.25536,1.25753,1.25044,1.25387,,0,0
2014.11.21,1.25386,1.25681,1.23749,1.23874,,0,0
2014.11.24,1.23592,1.24446,1.23592,1.24413,,0,0
2014.11.25,1.2442,1.24869,1.2402,1.24744,,0,0
2014.11.26,1.24741,1.25314,1.24436,1.25052,,0,0
2014.11.27,1.2506,1.25232,1.24646,1.24669,,0,0
2014.11.28,1.24668,1.24902,1.24263,1.245,,0,0
2014.12.01,1.24596,1.25065,1.24192,1.24686,,0,0
2014.12.02,1.24691,1.2476,1.23768,1.2382,,0,0
2014.12.03,1.23825,1.23903,1.23011,1.231,,0,0
2014.12.04,1.23099,1.24562,1.22795,1.23774,,0,0
2014.12.05,1.23771,1.23929,1.22709,1.2286,,0,0
2014.12.08,1.22879,1.23434,1.22471,1.23122,,0,0
2014.12.09,1.23125,1.24477,1.22921,1.2373,,0,0
2014.12.10,1.23735,1.24479,1.23621,1.24479,,0,0
2014.12.11,1.24478,1.24949,1.237,1.24096,61.10395972,0,0
2014.12.12,1.24097,1.24851,1.23843,1.24605,60.88753004,0,0
2014.12.15,1.24741,1.24789,1.24144,1.24355,60.67830395,0,0
2014.12.16,1.24354,1.25695,1.24337,1.25103,55.94949797,1,0.5
2014.12.17,1.25097,1.25157,1.2321,1.23413,56.34610001,1,0.5
2014.12.18,1.23412,1.23519,1.22656,1.22856,56.83069929,1,0.5
2014.12.19,1.22856,1.2302,1.222,1.22296,54.27380349,1,0.5
2014.12.22,1.22218,1.22723,1.22165,1.22286,54.2737464,1,0.5
2014.12.23,1.22293,1.22454,1.21647,1.2172,49.40054062,1,0.5
2014.12.24,1.21719,1.222,1.21694,1.22,49.43229804,1,0.5
2014.12.26,1.22134,1.22165,1.21685,1.21777,49.34821896,1,0.5
2014.12.29,1.218,1.22206,1.21429,1.2151,47.25193805,1,0.5
2014.12.30,1.21512,1.21873,1.21236,1.21584,45.17259287,1,0.5
2014.12.31,1.2156,1.21695,1.20972,1.20991,42.53309027,1,0.5
2015.01.02,1.20516,1.20696,1.1998,1.19994,34.92724874,1,0
2015.01.05,1.19505,1.19761,1.18626,1.19324,26.52404272,1,0
2015.01.06,1.19329,1.19686,1.1884,1.1889,26.25212478,1,0
2015.01.07,1.18893,1.18962,1.18019,1.18393,25.43713506,1,0
2015.01.08,1.18391,1.18473,1.1754,1.17893,31.22998165,1,0
2015.01.09,1.17928,1.1846,1.17624,1.1841,33.53727753,1,0
2015.01.12,1.18485,1.18706,1.1786,1.18331,34.64343314,1,0
2015.01.13,1.18326,1.18594,1.17534,1.17718,35.78484456,1,0
2015.01.14,1.1772,1.18456,1.17272,1.17895,34.92760673,1,0
2015.01.15,1.17894,1.1792,1.15679,1.163,24.22207225,1,0
2015.01.16,1.16299,1.16485,1.14599,1.1558,18.78427953,1,0
2015.01.19,1.15504,1.16388,1.15504,1.1601,20.90414771,1,0
2015.01.20,1.1601,1.16146,1.15402,1.15477,22.4788121,1,0
2015.01.21,1.15483,1.16788,1.15412,1.16087,29.0167674,1,0
2015.01.22,1.16081,1.16505,1.13161,1.13649,27.3017011,1,0
2015.01.23,1.13586,1.13738,1.11144,1.12041,18.94149271,1,0
2015.01.26,1.11513,1.12952,1.10979,1.12371,23.03976165,1,0
2015.01.27,1.12347,1.14223,1.12235,1.13798,26.00714996,1,0
2015.01.28,1.13805,1.13826,1.12761,1.12855,27.85668649,1,0
2015.01.29,1.12863,1.13677,1.12617,1.13194,29.66034576,1,0
2015.01.30,1.13193,1.13637,1.12749,1.1277,31.937741,1,0
2015.02.02,1.13121,1.13617,1.12922,1.13378,34.17493699,1,0
2015.02.03,1.13401,1.15337,1.13123,1.14761,38.56944808,1,0
2015.02.04,1.14776,1.14846,1.13152,1.13451,46.51839125,0,0
2015.02.05,1.1345,1.14987,1.13039,1.14751,47.50575322,0,0
2015.02.06,1.14751,1.14855,1.13111,1.13139,48.56555012,0,0
2015.02.09,1.12966,1.13593,1.12702,1.13231,49.60154462,0,0
2015.02.10,1.13234,1.13452,1.12728,1.13206,52.34221971,0,0
2015.02.11,1.13203,1.13468,1.12797,1.13352,61.56186779,0,0
2015.02.12,1.13353,1.14228,1.13019,1.14003,61.46374887,0,0
2015.02.13,1.14002,1.1443,1.13799,1.13829,73.94263801,0,0
2015.02.16,1.13961,1.14288,1.13195,1.13509,78.27083131,0,0
2015.02.17,1.13515,1.14486,1.13219,1.14109,77.61698606,0,0
2015.02.18,1.14109,1.14157,1.13337,1.13969,78.09405242,0,0
2015.02.19,1.13958,1.14499,1.1355,1.13676,77.35644038,0,0
2015.02.20,1.13681,1.14294,1.1279,1.13777,76.72235312,0,0
2015.02.23,1.13895,1.1396,1.12951,1.13343,81.16821779,0,0
2015.02.24,1.13344,1.13579,1.1288,1.13388,80.12512379,0,0
2015.02.25,1.13399,1.13884,1.13356,1.13604,81.08866618,0,0
2015.02.26,1.13604,1.13795,1.11836,1.11971,71.59739041,0,0
2015.02.27,1.11972,1.12449,1.11759,1.11904,68.96938195,0,0
2015.03.02,1.11813,1.12403,1.11599,1.11828,65.32708903,0,0
2015.03.03,1.11825,1.12174,1.11545,1.11753,63.52858811,0,0
2015.03.04,1.11756,1.11854,1.10615,1.10765,52.27399497,1,0.5
2015.03.05,1.10764,1.11141,1.09873,1.10256,45.0988839,1,0.5
2015.03.06,1.10251,1.10326,1.0837,1.08386,34.19584949,1,0
2015.03.09,1.083,1.09064,1.08226,1.08524,32.95794923,1,0
2015.03.10,1.08526,1.08548,1.06685,1.06799,24.50657297,1,0
2015.03.11,1.0681,1.07165,1.05111,1.05446,18.45062131,1,0
2015.03.12,1.05459,1.06834,1.04943,1.06243,19.15417727,1,0
2015.03.13,1.06236,1.06346,1.04623,1.04888,18.50051406,1,0
2015.03.16,1.04893,1.06193,1.04793,1.0567,19.1554051,1,0
2015.03.17,1.0567,1.06507,1.05512,1.0597,20.49072935,1,0
2015.03.18,1.0597,1.10398,1.05799,1.08288,27.85388039,1,0
2015.03.19,1.08287,1.09192,1.06132,1.06563,29.79003836,1,0
2015.03.20,1.06578,1.08817,1.06554,1.08147,32.76955086,1,0
2015.03.23,1.08669,1.09711,1.07674,1.0945,36.38028264,1,0
2015.03.24,1.09451,1.1029,1.08904,1.09193,42.20235616,0,0
2015.03.25,1.09194,1.10142,1.09008,1.09713,48.48687609,0,0
2015.03.26,1.09713,1.10519,1.08563,1.08748,49.21877781,0,0
2015.03.27,1.08749,1.09485,1.08012,1.08858,50.80596984,0,0
2015.03.30,1.0886,1.08948,1.081,1.08313,52.09115873,0,0
2015.03.31,1.08316,1.08452,1.07129,1.07313,53.12733913,0,0
2015.04.01,1.07311,1.07997,1.07184,1.07625,53.97444153,0,0
2015.04.02,1.07625,1.09052,1.07502,1.08799,55.81564335,0,0
2015.04.03,1.08798,1.10268,1.08638,1.09674,61.56862803,0,0
2015.04.06,1.10009,1.10354,1.09098,1.0922,64.44077137,0,0
2015.04.07,1.09219,1.09546,1.08032,1.08142,67.24386029,0,0
2015.04.08,1.08137,1.08872,1.07631,1.07793,70.66663554,0,0
2015.04.09,1.07794,1.07886,1.06376,1.06585,68.35128478,0,0
2015.04.10,1.06579,1.06834,1.05677,1.05991,61.5295451,0,0
2015.04.13,1.05814,1.06188,1.05206,1.05667,57.01312464,0,0
2015.04.14,1.0567,1.0707,1.05315,1.06541,56.07482226,0,0.5
2015.04.15,1.06537,1.07017,1.05707,1.06828,56.23120469,0,0.5
2015.04.16,1.06833,1.08174,1.06249,1.07609,55.14040368,0,0.5
2015.04.17,1.07611,1.08485,1.0734,1.07999,54.18271737,0,0.5
2015.04.20,1.08178,1.08195,1.07124,1.07372,53.2620026,0,0.5
2015.04.21,1.07369,1.07808,1.06598,1.07346,52.51281607,0,0.5
2015.04.22,1.0735,1.08006,1.07084,1.07232,51.68741766,0,0.5
2015.04.23,1.07233,1.08456,1.06659,1.08236,50.83498021,0,0.5
2015.04.24,1.08228,1.08996,1.07848,1.08667,56.38049258,0,0.5
2015.04.27,1.08613,1.09262,1.08193,1.08894,58.37718187,0,0
2015.04.28,1.08895,1.09908,1.086,1.09802,52.47345361,1,0.5
2015.04.29,1.09801,1.11877,1.09595,1.11275,39.13428247,1,0
2015.04.30,1.11279,1.1266,1.10712,1.12235,35.08477853,1,0
2015.05.01,1.12239,1.12899,1.11747,1.11937,34.66695273,1,0
2015.05.04,1.11887,1.12243,1.11226,1.11448,36.72024453,1,0
2015.05.05,1.11442,1.12227,1.10663,1.11848,39.8595991,1,0
2015.05.06,1.11846,1.13699,1.11747,1.13465,37.48259462,1,0
2015.05.07,1.13468,1.13916,1.12371,1.1265,36.46566331,1,0
2015.05.08,1.12651,1.12871,1.11788,1.1209,36.62610235,1,0
2015.05.11,1.11988,1.12057,1.11308,1.11547,36.98729068,1,0
2015.05.12,1.11546,1.12786,1.11343,1.12126,37.19217891,1,0
2015.05.13,1.12126,1.13824,1.12023,1.13532,44.15365421,0,0
2015.05.14,1.13531,1.14444,1.13405,1.14089,43.20790302,0,0
2015.05.15,1.1409,1.14666,1.1324,1.14437,44.63587614,0,0
2015.05.18,1.1447,1.14487,1.12984,1.13131,51.72957795,0,0
2015.05.19,1.13131,1.13261,1.11185,1.11492,60.86085442,0,0
2015.05.20,1.11514,1.11519,1.1062,1.10926,60.37585604,0,0
2015.05.21,1.10925,1.11812,1.10794,1.11111,60.25411202,0,0
2015.05.22,1.11115,1.12081,1.1002,1.10091,55.13537026,0,0.5
2015.05.25,1.1003,1.10091,1.0959,1.09774,51.72288589,0,0.5
2015.05.26,1.09767,1.09805,1.08631,1.08709,44.99712172,0,0.5
2015.05.27,1.08715,1.09289,1.0819,1.09027,42.0391084,0,0.5
2015.05.28,1.09026,1.09585,1.08672,1.09465,41.72608306,0,0.5
2015.05.29,1.09464,1.10058,1.09256,1.09911,41.47317203,0,0.5
2015.06.01,1.09809,1.09882,1.0887,1.09246,41.08835095,0,0.5
2015.06.02,1.09246,1.1193,1.09155,1.11487,40.83781927,0,0.5
2015.06.03,1.11484,1.1285,1.1079,1.12727,40.74709534,0,0.5
2015.06.04,1.12727,1.13797,1.12223,1.12374,41.68837861,0,0.5
2015.06.05,1.12372,1.12798,1.10492,1.11083,46.05200563,0,0.5
2015.06.08,1.10969,1.13067,1.10843,1.12906,46.06861069,0,0.5
2015.06.09,1.12905,1.1345,1.12139,1.12815,46.2936347,0,0.5
2015.06.10,1.12819,1.13862,1.126,1.13211,46.13400769,0,0.5
2015.06.11,1.13217,1.13303,1.11812,1.12571,46.18213711,0,0.5
2015.06.12,1.12572,1.12963,1.11514,1.12621,46.5124485,0,0.5
2015.06.15,1.1209,1.12942,1.11889,1.1283,46.93087275,0,0.5
2015.06.16,1.12826,1.13297,1.12046,1.12467,50.79158398,0,0.5
2015.06.17,1.12472,1.13578,1.12052,1.1335,52.86001188,0,0.5
2015.06.18,1.13348,1.14364,1.13299,1.13575,49.84665328,0,0
2015.06.19,1.1358,1.13967,1.12919,1.1346,52.5258799,0,0
2015.06.22,1.13724,1.14101,1.13117,1.13394,64.06004018,0,0
2015.06.23,1.13402,1.13471,1.11348,1.11669,64.22968865,0,0
2015.06.24,1.11667,1.12346,1.11537,1.12017,64.28175546,0,0
2015.06.25,1.12017,1.12276,1.11535,1.12004,67.63023714,0,0
2015.06.26,1.12017,1.12197,1.11298,1.11583,72.42767912,0,0
2015.06.29,1.10062,1.12777,1.09549,1.12344,55.0717369,0,0.5
2015.06.30,1.12351,1.12441,1.11119,1.11409,54.79290908,0,0.5
2015.07.01,1.11439,1.11716,1.10429,1.10516,54.56079533,0,0.5
2015.07.02,1.10527,1.1121,1.10323,1.10833,54.12433968,0,0.5
2015.07.03,1.10803,1.11176,1.10646,1.11141,53.62795865,0,0.5
2015.07.06,1.09908,1.10953,1.09682,1.10555,53.13273495,0,0.5
2015.07.07,1.10555,1.10583,1.09162,1.10099,49.60084201,0,0.5
2015.07.08,1.10108,1.10929,1.09738,1.10752,50.9348519,0,0.5
2015.07.09,1.10753,1.1125,1.09914,1.10342,50.33309956,0,0.5
2015.07.10,1.10291,1.12157,1.1029,1.11549,55.28479247,0,0.5
2015.07.13,1.10942,1.11968,1.09938,1.09969,61.69604246,0,0
2015.07.14,1.09993,1.10814,1.09653,1.10082,61.61615903,0,0
2015.07.15,1.10074,1.10353,1.09297,1.09412,61.81254942,0,0
2015.07.16,1.09441,1.09624,1.08552,1.08727,56.31719126,0,0.5
2015.07.17,1.0872,1.09067,1.08275,1.08282,56.62943769,0,0.5
2015.07.20,1.08299,1.08699,1.08082,1.08244,57.13205705,0,0
2015.07.21,1.08244,1.09688,1.08113,1.09336,56.86775635,0,0.5
2015.07.22,1.09338,1.09664,1.0869,1.09273,56.69826198,0,0.5
2015.07.23,1.09272,1.10176,1.09209,1.09817,56.67117956,0,0.5
2015.07.24,1.09849,1.09956,1.09252,1.09769,56.50035303,0,0.5
2015.07.27,1.09772,1.11292,1.09686,1.1086,56.37228848,0,0.5
2015.07.28,1.1086,1.10994,1.10219,1.10588,56.16210564,0,0.5
2015.07.29,1.10588,1.10839,1.09665,1.09812,55.88241715,0,0.5
2015.07.30,1.09813,1.09891,1.08932,1.09296,57.12492925,0,0
2015.07.31,1.09306,1.11141,1.09208,1.09816,63.80056241,0,0
2015.08.03,1.09718,1.09958,1.09412,1.09497,63.07201633,0,0
2015.08.04,1.09492,1.09876,1.0879,1.08804,62.2827728,0,0
2015.08.05,1.08809,1.09354,1.08479,1.0905,61.41509895,0,0
2015.08.06,1.0905,1.09434,1.08732,1.0923,60.92542063,0,0
2015.08.07,1.09231,1.09782,1.08553,1.09632,61.02175577,0,0
