date,open,high,low,close,CI,trend,trend_in_progress
2015.05.07,119.425,119.86,119.054,119.729,,0.0,0.0
2015.05.08,119.729,120.23,119.586,119.77,,0.0,0.0
2015.05.11,119.633,120.151,119.617,120.079,,0.0,0.0
2015.05.12,120.081,120.275,119.788,119.845,,0.0,0.0
2015.05.13,119.845,120.01,119.034,119.141,,0.0,0.0
2015.05.14,119.141,119.336,118.886,119.123,,0.0,0.0
2015.05.15,119.129,119.926,119.129,119.358,,0.0,0.0
2015.05.18,119.239,120.034,119.213,119.969,,0.0,0.0
2015.05.19,119.971,120.737,119.83,120.685,,0.0,0.0
2015.05.20,120.677,121.476,120.58,121.337,,0.0,0.0
2015.05.21,121.335,121.379,120.845,121.025,,0.0,0.0
2015.05.22,121.033,121.569,120.64,121.499,,0.0,0.0
2015.05.25,121.493,121.775,121.445,121.551,,0.0,0.0
2015.05.26,121.545,123.321,121.482,123.047,,0.0,0.0
2015.05.27,123.053,124.068,122.774,123.609,,0.0,0.0
2015.05.28,123.609,124.46,123.494,123.945,,0.0,0.0
2015.05.29,123.943,124.185,123.605,124.111,,0.0,0.0
2015.06.01,124.075,124.915,123.853,124.767,,0.0,0.0
2015.06.02,124.767,125.051,123.75,124.081,,0.0,0.0
2015.06.03,124.083,124.681,123.787,124.243,,0.0,0.0
2015.06.04,124.243,124.68,123.778,124.345,,0.0,0.0
2015.06.05,124.347,125.855,124.337,125.575,,0.0,0.0
2015.06.08,125.567,125.676,124.292,124.473,,0.0,0.0
2015.06.09,124.477,124.735,123.859,124.331,,0.0,0.0
2015.06.10,124.325,124.619,122.457,122.599,,0.0,0.0
2015.06.11,122.589,124.14,122.577,123.407,,0.0,0.0
2015.06.12,123.407,123.817,123.138,123.348,,0.0,0.0
2015.06.15,123.207,123.658,123.113,123.399,53.41323250728199,0.0,0.0
2015.06.16,123.397,123.799,123.289,123.353,54.08770562023269,0.0,0.0
2015.06.17,123.345,124.441,123.207,123.421,54.740240515036,0.0,0.0
2015.06.18,123.419,123.61,122.451,122.961,55.41319365755258,0.0,0.0
2015.06.19,122.957,123.216,122.558,122.631,55.96148729522547,0.0,0.0
2015.06.22,122.939,123.419,122.56,123.349,56.36441929471953,0.0,0.0
2015.06.23,123.343,124.184,123.341,123.935,56.67501380557745,0.0,0.0
2015.06.24,123.911,124.375,123.715,123.843,56.92276685929436,0.0,0.0
2015.06.25,123.841,123.955,123.318,123.623,58.9372351980272,0.0,0.0
2015.06.26,123.621,123.987,123.223,123.808,71.78279884947047,0.0,0.0
2015.06.29,122.703,123.19,122.102,122.535,68.02524022068188,0.0,0.0
2015.06.30,122.531,122.716,121.936,122.487,67.58690456739424,0.0,0.0
