date,symbol_name,vol_avg_spread,volume
1/5/2021,CADJPY,12.10095275,95.53978015
1/5/2021,CHFJPY,13.56815306,46.2509371
1/5/2021,ETHUSD,50.29749013,41.31994543
1/5/2021,EURAUD,16.29845042,272.7561915
1/5/2021,EURCAD,12.00976205,128.3614236
1/5/2021,EURCHF,20.7824765,52.28617618
1/5/2021,EURGBP,27.59188285,416.7130575
1/5/2021,EURGBP.fix,36,0.93
1/5/2021,EURJPY,8.31719911,561.8722333
1/5/2021,EURJPY.fix,30,0.715
1/5/2021,EURNZD,30.29917934,175.0778111
1/5/2021,EURUSD,8.462129707,7371.662488
1/5/2021,EURUSD.fix,20,15.53
1/5/2021,GBPAUD,28.37577271,220.4350799
1/5/2021,GBPCAD,26.88789303,77.78243639
1/5/2021,GBPCHF,33.37423425,77.90886223
1/5/2021,GBPJPY,14.66814423,1044.049811
1/5/2021,GBPJPY.fix,61,0.87
1/5/2021,GBPNZD,34.68183958,143.5924499
1/5/2021,GBPUSD,12.85752874,6628.923471
1/5/2021,GBPUSD.fix,30,15.055
1/5/2021,GER30,0,7.253912254
1/5/2021,LTCUSD,90.90595255,6.668449903
1/5/2021,NAS100,34.43233779,50.79545694
1/5/2021,NZDCAD,15.97945736,54.32149611
1/5/2021,NZDCHF,27.13456712,34.74656612
1/5/2021,NZDJPY,13.45146565,81.84347276
1/5/2021,NZDUSD,13.12974147,918.3239618
1/5/2021,NZDUSD.fix,40,1.85
1/5/2021,US30,97.23757191,50.388702
1/5/2021,USDCAD,8.665786452,1167.995013
1/5/2021,USDCAD.fix,29,2.92
1/5/2021,USDCHF,16.87592288,277.9724506
1/5/2021,USDCHF.fix,43,0.18
1/5/2021,USDJPY,10.0819029,1153.937744
1/5/2021,USDJPY.fix,23,2.02
1/5/2021,XAGUSD,118.3414331,56.86307365
1/5/2021,XAGUSD.fix,300,1.235
1/5/2021,XAUUSD,25.02504226,7508.465874
1/5/2021,XAUUSD.fix,80,5.615
1/5/2021,XBRUSD,143.3661825,5.235981282
1/5/2021,XRPUSD,281.8633008,49.04202684
1/5/2021,XTIUSD,118.7168763,17.88494273
1/6/2021,AUDCAD,17.26550548,132.3056728
1/6/2021,AUDCHF,22.36216546,58.5519121
1/6/2021,AUDJPY,13.96175587,261.3052946
1/6/2021,AUDNZD,16.26477076,27.92329831
1/6/2021,AUDUSD,11.60574168,1326.219146
1/6/2021,AUDUSD.fix,40,1.025
1/6/2021,AUS200,19.76631205,3.521498805
1/6/2021,BCHUSD,47.88328839,2.846501505
1/6/2021,BTCUSD,71.21418174,150.3845328
1/6/2021,CADCHF,23.35928186,61.59015086
1/6/2021,CADJPY,10.5435487,201.51948
1/6/2021,CHFJPY,13.66895208,67.43402604
1/6/2021,ETHUSD,51.37037766,28.89979788
1/6/2021,EURAUD,16.65287606,287.4331348
1/6/2021,EURCAD,11.96771913,132.2357497
1/6/2021,EURCHF,23.3032395,77.676523
1/6/2021,EURGBP,28.11890724,440.7120393
1/6/2021,EURGBP.fix,36,2.815
1/6/2021,EURJPY,8.751998395,1144.911851
1/6/2021,EURJPY.fix,30,0.79
1/6/2021,EURNZD,31.04711979,142.9954966
1/6/2021,EURUSD,8.760134597,10627.52338
1/6/2021,EURUSD.fix,20,28.885
1/6/2021,GBPAUD,28.79561176,239.311648
1/6/2021,GBPCAD,29.11914705,100.2279162
1/6/2021,GBPCHF,35.39541351,75.86768608
1/6/2021,GBPJPY,14.75786531,957.724364
1/6/2021,GBPJPY.fix,61,0.665
1/6/2021,GBPNZD,36.54577497,75.67693734
1/6/2021,GBPUSD,12.7265609,7806.168694
1/6/2021,GBPUSD.fix,30,22.59
1/6/2021,GER30,0,4.625340743
1/6/2021,LTCUSD,97.71445058,8.140515147
1/6/2021,NAS100,35.14458797,95.13539273
1/6/2021,NZDCAD,18.21228332,95.25786641
1/6/2021,NZDCHF,23.46463285,239.8366009
1/6/2021,NZDJPY,12.99941916,169.806908
1/6/2021,NZDUSD,13.77460553,619.2158404
1/6/2021,NZDUSD.fix,40,1.365
1/6/2021,US30,95.22322238,70.33806453
1/6/2021,USDCAD,8.687643772,1353.25533
1/6/2021,USDCAD.fix,29,15.57
1/6/2021,USDCHF,17.03638968,412.8252771
1/6/2021,USDCHF.fix,43,0.28
1/6/2021,USDJPY,10.04216063,875.6409664
1/6/2021,USDJPY.fix,23,5.535
1/6/2021,XAGUSD,117.2425372,80.48428173
1/6/2021,XAGUSD.fix,300,0.515
1/6/2021,XAUUSD,28.91031803,10858.15832
1/6/2021,XAUUSD.fix,80,9.17
1/6/2021,XBRUSD,141.7101696,5.977424864
1/6/2021,XRPUSD,276.75987,94.53312952
