date,symbol,volume,profit,PnL_per_lot
2023-03-01,EURUSD,21020.56,-280386.76,-13.34
2023-03-01,GBPUSD,19023.18,541706.75,28.48
2023-03-01,USDJPY,5294.88,70983.89,13.41
2023-03-01,XAUUSD,30593.57,-1574741.71,-51.47
2023-03-02,EURUSD,17752.58,-58750.99,-3.31
2023-03-02,GBPUSD,20558.03,651282.21,31.68
2023-03-02,USDJPY,7387.38,-46500.39,-6.29
2023-03-02,XAUUSD,28046.72,264578.32,9.43
2023-03-03,EURUSD,13539.34,107248.33,7.92
2023-03-03,GBPUSD,14943.59,297531.72,19.91
