date,symbol,volume,profit,PnL_per_lot,hour,day
2020-01-15 20:00:00,XAUUSD,25.47,1710.73,67.17,20:00:00,2020-01-15
2020-01-16 00:00:00,EURUSD,35.94,-228.03,-6.34,00:00:00,2020-01-16
2020-01-16 00:00:00,GBPUSD,17.22,-1052.88,-61.14,00:00:00,2020-01-16
2020-01-16 00:00:00,USDJPY,12.71,75.18,5.92,00:00:00,2020-01-16
2020-01-16 00:00:00,XAUUSD,22.28,486.53,21.84,00:00:00,2020-01-16
2020-01-16 04:00:00,EURUSD,31.48,4274.4,135.78,04:00:00,2020-01-16
2020-01-16 04:00:00,GBPUSD,27.55,1718.6,62.38,04:00:00,2020-01-16
2020-01-16 04:00:00,USDJPY,1.14,-19.24,-16.88,04:00:00,2020-01-16
2020-01-16 04:00:00,XAUUSD,9.18,52.68,5.74,04:00:00,2020-01-16
2020-01-16 08:00:00,EURUSD,593.28,-2457.44,-4.14,08:00:00,2020-01-16
2020-01-16 08:00:00,GBPUSD,247.36,-3702.78,-14.97,08:00:00,2020-01-16
2020-01-16 08:00:00,USDJPY,28.89,-757.52,-26.22,08:00:00,2020-01-16
2020-01-16 08:00:00,XAUUSD,50.14,-101.55,-2.03,08:00:00,2020-01-16
2020-01-16 12:00:00,EURUSD,357.81,-4298.25,-12.01,12:00:00,2020-01-16
2020-01-16 12:00:00,GBPUSD,150.71,-3785.02,-25.11,12:00:00,2020-01-16
2020-01-16 12:00:00,USDJPY,4.48,-414.12,-92.44,12:00:00,2020-01-16
2020-01-16 12:00:00,XAUUSD,35.95,-2840.22,-79,12:00:00,2020-01-16
2020-01-16 16:00:00,EURUSD,229.34,-130.29,-0.57,16:00:00,2020-01-16
2020-01-16 16:00:00,GBPUSD,147.56,1976.8,13.4,16:00:00,2020-01-16
2020-01-16 16:00:00,USDJPY,13.98,-394.01,-28.18,16:00:00,2020-01-16
2020-01-16 16:00:00,XAUUSD,52.97,-235.84,-4.45,16:00:00,2020-01-16
2020-01-16 20:00:00,EURUSD,18.32,-626.29,-34.19,20:00:00,2020-01-16
2020-01-16 20:00:00,GBPUSD,11.94,126.06,10.56,20:00:00,2020-01-16
2020-01-16 20:00:00,USDJPY,1.68,-6.65,-3.96,20:00:00,2020-01-16
2020-01-16 20:00:00,XAUUSD,22.13,936.44,42.32,20:00:00,2020-01-16
2020-01-17 00:00:00,EURUSD,22.6,54.89,2.43,00:00:00,2020-01-17
2020-01-17 00:00:00,GBPUSD,9.54,-254.97,-26.73,00:00:00,2020-01-17
