day,symbol_name,profit,volume,PnL/Lot
5/26/2020,XAUUSD,-72156.24,2294.63,-31.445699
5/27/2020,XAUUSD,-158460.53,2235.49,-70.884023
5/28/2020,XAUUSD,-19118.15,1985.2,-9.630341
5/29/2020,XAUUSD,-35210.76,1609.26,-21.880093
6/1/2020,XAUUSD,-21680.27,1745.86,-12.418104
6/2/2020,XAUUSD,-65395.32,1739.15,-37.601889
6/3/2020,XAUUSD,-223843.04,2025.98,-110.486304
6/4/2020,XAUUSD,-33258.16,1544.43,-21.53426
6/5/2020,XAUUSD,-186280.68,2175.56,-85.624242
6/8/2020,XAUUSD,20845.47,1616.71,12.89376
6/9/2020,XAUUSD,-172390.09,2036.78,-84.638542
6/10/2020,XAUUSD,-193637.48,2386.69,-81.13223
6/11/2020,XAUUSD,34069.11,2018.13,16.881522
6/12/2020,XAUUSD,52700.35,1438.84,36.62697
6/15/2020,XAUUSD,-12641.57,2002.49,-6.312927
6/16/2020,XAUUSD,118341.38,2174.79,54.415083
6/17/2020,XAUUSD,56492.12,1976.78,28.577847
6/18/2020,XAUUSD,25647.18,1814.56,14.134106
6/19/2020,XAUUSD,-65842.24,1535.81,-42.871343
6/22/2020,XAUUSD,-139739.22,2403.61,-58.137225
6/23/2020,XAUUSD,-275993.87,1920.44,-143.713874
6/24/2020,XAUUSD,-262286.6,2668.97,-98.272591
6/25/2020,XAUUSD,37363.49,1622.23,23.032179
6/26/2020,XAUUSD,-34313.48,2155.31,-15.920439
6/29/2020,XAUUSD,64365.51,1546.92,41.608818
6/30/2020,XAUUSD,-108270.72,2648.65,-40.8777
7/1/2020,XAUUSD,-56375.7,3206.57,-17.581311
7/2/2020,XAUUSD,58486.37,2390.43,24.466883
7/3/2020,XAUUSD,-41000.53,708.5,-57.869492
7/6/2020,XAUUSD,73892.33,2479.17,29.805271
7/7/2020,XAUUSD,-262097.13,2602.64,-100.704336
7/8/2020,XAUUSD,-1059592.18,3195.11,-331.629329
7/9/2020,XAUUSD,-109575.4,2728.76,-40.155747
7/10/2020,XAUUSD,20413.19,1867.78,10.929119
7/13/2020,XAUUSD,80948.07,2141.73,37.795645
7/14/2020,XAUUSD,64317.53,2165.65,29.698948
7/15/2020,XAUUSD,47375.55,2160.31,21.929976
7/16/2020,XAUUSD,20479.97,2289.05,8.946931
7/17/2020,XAUUSD,66686.14,2167.17,30.771072
7/20/2020,XAUUSD,-185634.68,2222.77,-83.51502
7/21/2020,XAUUSD,-1605311.6,3577.01,-448.785885
7/22/2020,XAUUSD,-759229.29,3152.29,-240.850078
7/23/2020,XAUUSD,-144153.42,3359.46,-42.909701
7/24/2020,XAUUSD,134730.35,2159.92,62.377473
7/27/2020,XAUUSD,97907.55,4691.83,20.867668
7/28/2020,XAUUSD,-894005.26,4724.23,-189.238301
7/29/2020,XAUUSD,-3605.08,3278.64,-1.099567
7/30/2020,XAUUSD,-95597.54,2982.11,-32.057012
7/31/2020,XAUUSD,164722.18,3159.1,52.142124
8/3/2020,XAUUSD,29022.04,2639.31,10.99607
8/4/2020,XAUUSD,-733231.61,4759.31,-154.062586
8/5/2020,XAUUSD,-423898.83,4226.74,-100.289782
8/6/2020,XAUUSD,149556.91,4235.52,35.310165
8/7/2020,XAUUSD,-512497.64,4545.63,-112.745128
8/10/2020,XAUUSD,-144869.86,3141.94,-46.108409
8/11/2020,XAUUSD,-1163598.67,6223.6,-186.96553
8/12/2020,XAUUSD,-580223.08,5062,-114.623286
8/13/2020,XAUUSD,-447718.71,3675.79,-121.802036
8/14/2020,XAUUSD,-87374.96,2536.03,-34.453442
8/17/2020,XAUUSD,-216544.7,3694.38,-58.614625
8/18/2020,XAUUSD,-166771.14,4738.38,-35.195814
8/19/2020,XAUUSD,-587576.72,4723.57,-124.392507
8/20/2020,XAUUSD,-142706,3550.34,-40.195025
8/21/2020,XAUUSD,-199487.7,3214.38,-62.06102
8/24/2020,XAUUSD,-101220.38,3223.6,-31.399794
8/25/2020,XAUUSD,3515.63,3506.94,1.002478
8/26/2020,XAUUSD,-306311.83,4996.98,-61.29939
8/27/2020,XAUUSD,-130953.57,5323.01,-24.601413
8/28/2020,XAUUSD,-79235.85,4226.29,-18.748322
8/31/2020,XAUUSD,-12050.7,4188.47,-2.877114
9/1/2020,XAUUSD,-201934.91,5112.77,-39.496184
9/2/2020,XAUUSD,-304002.23,5402.61,-56.269511
9/3/2020,XAUUSD,-160127.66,5024.13,-31.871719
9/4/2020,XAUUSD,-6788.26,4912.98,-1.3817
9/7/2020,XAUUSD,10310.7,2607.15,3.954777
9/8/2020,XAUUSD,-234836.84,6493.19,-36.166636
9/9/2020,XAUUSD,-44462.55,4509.84,-9.859008
9/10/2020,XAUUSD,-164036.58,4886.61,-33.568584
9/11/2020,XAUUSD,12354.28,3865.27,3.196228
9/14/2020,XAUUSD,6792.61,4281.39,1.586543
9/15/2020,XAUUSD,-97425.49,5081.94,-19.170925
9/16/2020,XAUUSD,153982.74,5811.66,26.495483
9/17/2020,XAUUSD,32287.59,4852.24,6.654163
9/18/2020,XAUUSD,76070.89,3915.12,19.430027
9/21/2020,XAUUSD,-1647019.06,6944.99,-237.152113
9/22/2020,XAUUSD,-163217.33,5092.95,-32.047698
9/23/2020,XAUUSD,-492387.59,6383.41,-77.13551
9/24/2020,XAUUSD,-84862.45,5862.99,-14.474261
9/25/2020,XAUUSD,17837.8,4144.99,4.303461
9/28/2020,XAUUSD,-82124.54,5354.32,-15.337996
9/29/2020,XAUUSD,-264805.44,5328.94,-49.691953
9/30/2020,XAUUSD,75772.37,6168.93,12.282903
10/1/2020,XAUUSD,-48479.61,5066.59,-9.568489
10/2/2020,XAUUSD,129025.22,6112.07,21.109906
10/5/2020,XAUUSD,-265921.15,5380.41,-49.423956
10/6/2020,XAUUSD,-174963.1,6467.06,-27.054503
10/7/2020,XAUUSD,46398.48,5163.6,8.985685
10/8/2020,XAUUSD,160389.85,5284.75,30.349562
10/9/2020,XAUUSD,-1000570.84,5512.94,-181.494962
10/12/2020,XAUUSD,45125.44,3955.53,11.408191
10/13/2020,XAUUSD,-438094.52,6352.56,-68.96346
10/14/2020,XAUUSD,-42523.14,4640.93,-9.162632
10/15/2020,XAUUSD,146322.45,4973.03,29.423199
10/16/2020,XAUUSD,78450.41,4058.85,19.328235
10/19/2020,XAUUSD,55573.92,5402.11,10.287448
10/20/2020,XAUUSD,323403.61,6698.61,48.279212
10/21/2020,XAUUSD,-456013.28,6875.38,-66.325539
10/22/2020,XAUUSD,-80257.14,6439.08,-12.46407
10/23/2020,XAUUSD,208123.37,5955.41,34.946942
10/26/2020,XAUUSD,378894.04,6876.76,55.097755
10/27/2020,XAUUSD,379556.2,8121.14,46.736813
10/28/2020,XAUUSD,-1327262.39,10058.92,-131.948797
10/29/2020,XAUUSD,-694435.19,5853.84,-118.629001
10/30/2020,XAUUSD,-7578.41,6459.77,-1.17317
11/2/2020,XAUUSD,-25636.87,5979.01,-4.287811
11/3/2020,XAUUSD,-510763.53,7012.58,-72.835323
11/4/2020,XAUUSD,333765.08,8068.83,41.364743
11/5/2020,XAUUSD,-1229409.09,7728.74,-159.069795
11/6/2020,XAUUSD,-351883.05,6029.84,-58.356946
11/9/2020,XAUUSD,-598754.03,9527.26,-62.846404
11/10/2020,XAUUSD,5023.03,4854.01,1.03482
11/11/2020,XAUUSD,-105314.87,4156.62,-25.33666
11/12/2020,XAUUSD,53672.83,4728.98,11.34977
11/13/2020,XAUUSD,-154998.2,4746.26,-32.656912
11/16/2020,XAUUSD,-83593.09,5995.88,-13.941754
11/17/2020,XAUUSD,97086.1,4293.44,22.612661
11/18/2020,XAUUSD,-29261.95,5468.27,-5.351227
11/19/2020,XAUUSD,-66529.62,5381.29,-12.363136
11/20/2020,XAUUSD,13901.73,4664.54,2.980301
11/23/2020,XAUUSD,-777806.76,5995.41,-129.733706
11/24/2020,XAUUSD,-1420044.3,6371.64,-222.869513
11/25/2020,XAUUSD,-22983.19,4088.07,-5.622015
11/26/2020,XAUUSD,53588.15,2909.35,18.419284
11/27/2020,XAUUSD,-1430698.95,5513.94,-259.469444
11/30/2020,XAUUSD,-360915.81,5313.37,-67.925971
12/1/2020,XAUUSD,-817475.17,5385.63,-151.788215
12/2/2020,XAUUSD,-371089.56,4288.19,-86.537574
12/3/2020,XAUUSD,-257952.86,4171.81,-61.832361
12/4/2020,XAUUSD,-108295.34,3980.64,-27.20551
12/7/2020,XAUUSD,-406155.32,5010.49,-81.060997
12/8/2020,XAUUSD,-136265.03,3848.69,-35.405561
12/9/2020,XAUUSD,3239.61,6257.35,0.517728
12/10/2020,XAUUSD,12889.52,5487.89,2.348721
12/11/2020,XAUUSD,-60282.72,4924.39,-12.241663
12/14/2020,XAUUSD,-88820.66,5720.73,-15.526107
12/15/2020,XAUUSD,-650157.27,5646.87,-115.135866
12/16/2020,XAUUSD,-257970.06,6395.7,-40.334923
12/17/2020,XAUUSD,-720512.95,7147.76,-100.802622
12/18/2020,XAUUSD,16776.43,5271.8,3.182297
12/21/2020,XAUUSD,-464538.04,7769.98,-59.786259
12/22/2020,XAUUSD,-42441.1,6122.15,-6.932384
12/23/2020,XAUUSD,16683.78,5788.43,2.882263
12/24/2020,XAUUSD,-6221.27,4004.67,-1.553504
12/28/2020,XAUUSD,23154.26,6968.33,3.322785
12/29/2020,XAUUSD,227748.05,5917.3,38.488508
12/30/2020,XAUUSD,114100.03,5871.76,19.431998
12/31/2020,XAUUSD,112423.69,6183.06,18.182532
1/4/2021,XAUUSD,-892648.59,9059.73,-98.529271
1/5/2021,XAUUSD,89556.85,9310.41,9.619002
1/6/2021,XAUUSD,-433524.42,13255.62,-32.704952
1/7/2021,XAUUSD,172859.93,7976.9,21.670064
1/8/2021,XAUUSD,-1932441.69,12783.78,-151.163559
1/11/2021,XAUUSD,-304485.46,8544.8,-35.634006
1/12/2021,XAUUSD,-118603.26,8692.32,-13.644604
1/13/2021,XAUUSD,120403.46,7736.99,15.562054
1/14/2021,XAUUSD,-2619.63,8665.02,-0.302322
1/15/2021,XAUUSD,63449.17,10663.79,5.949964
1/18/2021,XAUUSD,-20251.55,9266.59,-2.185437
1/19/2021,XAUUSD,157684.87,11767.78,13.399713
1/20/2021,XAUUSD,-620909.3,15546.57,-39.938668
1/21/2021,XAUUSD,33486.88,10042.9,3.334383
1/22/2021,XAUUSD,-200699.48,12368.23,-16.227017
1/25/2021,XAUUSD,103879.48,14085.28,7.375038
1/26/2021,XAUUSD,288254.51,11564.33,24.926175
1/27/2021,XAUUSD,-16618.34,12907.16,-1.287529
1/28/2021,XAUUSD,-53189.41,15668,-3.39478
1/29/2021,XAUUSD,62804.28,15859.29,3.960094
2/1/2021,XAUUSD,862735.21,16734.88,51.553116
2/2/2021,XAUUSD,-240668.77,15304.6,-15.725257
2/3/2021,XAUUSD,206190.05,10244.2,20.127491
2/4/2021,XAUUSD,-3388882.14,18403.29,-184.145451
2/5/2021,XAUUSD,-380268.72,9447.32,-40.251491
2/8/2021,XAUUSD,-772512.81,9986.67,-77.354395
2/9/2021,XAUUSD,-417304.44,9031.53,-46.205287
2/10/2021,XAUUSD,-79857.71,9910.06,-8.058247
2/11/2021,XAUUSD,-14202.23,9478.06,-1.498432
2/12/2021,XAUUSD,-128764.75,10379.09,-12.40617
2/15/2021,XAUUSD,128979.12,6898.41,18.696935
2/16/2021,XAUUSD,-613337.83,15845.83,-38.706577
2/17/2021,XAUUSD,-586397,15070.2,-38.91103
2/18/2021,XAUUSD,115236.34,13679.86,8.423795
2/19/2021,XAUUSD,-341598.29,12917.44,-26.444736
2/22/2021,XAUUSD,-1105360.51,11971.73,-92.330892
2/23/2021,XAUUSD,36120.8,10151.48,3.558181
2/24/2021,XAUUSD,-177981.41,12538.79,-14.194465
2/25/2021,XAUUSD,241322.93,14784.16,16.323074
2/26/2021,XAUUSD,-2962408.21,15531.29,-190.738066
3/1/2021,XAUUSD,-35863.42,12466.41,-2.876804
3/2/2021,XAUUSD,-1489753.45,13288.56,-112.107968
3/3/2021,XAUUSD,-80974.84,12401.06,-6.529671
3/4/2021,XAUUSD,27052.97,15425.03,1.753836
3/5/2021,XAUUSD,6386.43,12879.57,0.495858
3/8/2021,XAUUSD,-953913.66,15193.88,-62.782756
3/9/2021,XAUUSD,-1158098.65,13381.74,-86.543204
3/10/2021,XAUUSD,-177074.89,12335.36,-14.355065
3/11/2021,XAUUSD,-379223.34,15107.21,-25.102143
3/12/2021,XAUUSD,-1217146.82,15671.3,-77.667253
3/15/2021,XAUUSD,48556.32,11655.19,4.166069
3/16/2021,XAUUSD,89684.42,13594.82,6.596956
3/17/2021,XAUUSD,75263.45,16492.52,4.56349
3/18/2021,XAUUSD,-525887.36,18148.5,-28.976905
3/19/2021,XAUUSD,198653.26,13688.09,14.512855
3/22/2021,XAUUSD,814543.52,17696.52,46.028458
3/23/2021,XAUUSD,217670.22,17204.88,12.651656
3/24/2021,XAUUSD,476237.79,13566.02,35.105196
3/25/2021,XAUUSD,958446.81,21605.65,44.360934
3/26/2021,XAUUSD,819737.68,15916.63,51.501963
3/29/2021,XAUUSD,-2147559.19,20716.83,-103.662538
3/30/2021,XAUUSD,-2723096.23,21072.31,-129.22628
3/31/2021,XAUUSD,-873150.79,19244.96,-45.370361
4/1/2021,XAUUSD,-464373.96,15153.85,-30.643959
4/5/2021,XAUUSD,34526.37,12469.68,2.768825
4/6/2021,XAUUSD,-338085.66,15010.39,-22.523443
4/7/2021,XAUUSD,286496.08,14890.46,19.240244
4/8/2021,XAUUSD,-1230575.79,15300.39,-80.42774
4/9/2021,XAUUSD,-499923.81,15403.44,-32.455336
4/12/2021,XAUUSD,-10299.02,15482.35,-0.66521
4/13/2021,XAUUSD,-453036.45,19034.27,-23.801094
4/14/2021,XAUUSD,242577.21,13140.67,18.460034
4/15/2021,XAUUSD,-3101586.63,18784.89,-165.110716
4/16/2021,XAUUSD,-1491700.55,12611.37,-118.282197
4/19/2021,XAUUSD,-898130.96,12483.95,-71.942851
4/20/2021,XAUUSD,37636.71,12270.37,3.067284
4/21/2021,XAUUSD,-394863.12,13330.75,-29.620473
4/22/2021,XAUUSD,-137090.91,13774.51,-9.952507
4/23/2021,XAUUSD,-187042.59,12440.4,-15.035095
4/26/2021,XAUUSD,215308.12,12011.08,17.925792
4/27/2021,XAUUSD,496955.88,13780.99,36.060971
4/28/2021,XAUUSD,-497571.84,16003.6,-31.091244
4/29/2021,XAUUSD,-437603.5,16422.75,-26.646177
4/30/2021,XAUUSD,491719.77,12166.77,40.41498
5/3/2021,XAUUSD,-1337889.88,15263.62,-87.6522
5/4/2021,XAUUSD,826525.39,18785.96,43.996974
5/5/2021,XAUUSD,473344.89,14159.33,33.429893
5/6/2021,XAUUSD,-2699601.49,17343.99,-155.650544
5/7/2021,XAUUSD,-3563459.29,18388.05,-193.792125
5/10/2021,XAUUSD,-70160.52,14426.95,-4.863157
5/11/2021,XAUUSD,-64544,16853.52,-3.829705
5/12/2021,XAUUSD,218442.71,19707.84,11.084051
5/13/2021,XAUUSD,-224861.85,16622.54,-13.527527
5/14/2021,XAUUSD,-735294.71,13879.14,-52.978406
5/17/2021,XAUUSD,-2161852.74,15030.53,-143.830772
5/18/2021,XAUUSD,-1006856.15,11940.47,-84.322991
5/19/2021,XAUUSD,-1016599.77,19746.44,-51.482686
5/20/2021,XAUUSD,273977.03,13047.5,20.998431
5/21/2021,XAUUSD,299138.07,14082,21.242584
5/24/2021,XAUUSD,487182.03,12909.33,37.738754
5/25/2021,XAUUSD,414498.78,18788.44,22.061373
5/26/2021,XAUUSD,-1127064.15,21082.53,-53.459625
5/27/2021,XAUUSD,255180.03,16868.69,15.127436
5/28/2021,XAUUSD,-409747.19,16458.9,-24.895174
5/31/2021,XAUUSD,44448.05,10305.28,4.313133
6/1/2021,XAUUSD,-479926.14,22240.5,-21.578928
6/2/2021,XAUUSD,645760.11,17600.47,36.689936
6/3/2021,XAUUSD,-5537043.25,24263.42,-228.205391
6/4/2021,XAUUSD,-1732352.26,16559.48,-104.613929
6/7/2021,XAUUSD,-28486.7,13402.04,-2.125549
6/8/2021,XAUUSD,75345.5,17834.43,4.224721
6/9/2021,XAUUSD,376192.35,15748.89,23.886912
6/10/2021,XAUUSD,-249079.03,21357.59,-11.662319
6/11/2021,XAUUSD,-444856.95,18432.61,-24.134235
6/14/2021,XAUUSD,-2975372.55,21692.5,-137.161349
6/15/2021,XAUUSD,-40086.94,16465.77,-2.434562
6/16/2021,XAUUSD,-3008886.11,30431.85,-98.872928
6/17/2021,XAUUSD,-4266478.85,24585.73,-173.534764
6/18/2021,XAUUSD,-1149115.97,16819.19,-68.321719
6/21/2021,XAUUSD,-178317.22,12811.26,-13.918789
6/22/2021,XAUUSD,101154.19,12162.55,8.316857
6/23/2021,XAUUSD,-48135.18,11410.97,-4.218325
6/24/2021,XAUUSD,266655.33,10107.35,26.382318
6/25/2021,XAUUSD,19458.82,10950.79,1.776933
6/28/2021,XAUUSD,547688.04,12811.45,42.749887
6/29/2021,XAUUSD,-1693327.18,16587.12,-102.086871
6/30/2021,XAUUSD,-361660.02,12350.04,-29.284117
7/1/2021,XAUUSD,-745323.4,12102.61,-61.583691
7/2/2021,XAUUSD,-802034.18,13630.05,-58.843084
7/5/2021,XAUUSD,157912.38,6546.49,24.121687
7/6/2021,XAUUSD,-2227250.76,16431.87,-135.54457
7/7/2021,XAUUSD,423051.15,11872.99,35.631391
7/8/2021,XAUUSD,-118507.89,14018.47,-8.453696
7/9/2021,XAUUSD,113600.73,10125.14,11.21967
7/12/2021,XAUUSD,456750.28,13714.44,33.304333
7/13/2021,XAUUSD,1187898.43,16866.34,70.430125
7/14/2021,XAUUSD,-1102110.62,17444.97,-63.176413
7/15/2021,XAUUSD,-472618.08,17680.15,-26.731565
7/16/2021,XAUUSD,-22143.45,17115.73,-1.293749
7/19/2021,XAUUSD,-1436475.77,15669.96,-91.670672
7/20/2021,XAUUSD,466251.72,12984.93,35.907141
7/21/2021,XAUUSD,368136.12,14220.67,25.887396
7/22/2021,XAUUSD,281525.58,14902.87,18.890696
7/23/2021,XAUUSD,-293643.32,17382.88,-16.892674
7/26/2021,XAUUSD,700317.15,14050.9,49.841444
7/27/2021,XAUUSD,1037612.31,17747.78,58.464344
7/28/2021,XAUUSD,1145963.02,20441.55,56.060476
7/29/2021,XAUUSD,-2382047.54,19051.87,-125.029593
7/30/2021,XAUUSD,203772.28,16910.56,12.050002
8/2/2021,XAUUSD,526637.52,21547.24,24.441066
8/3/2021,XAUUSD,983716.25,16823.03,58.47438
8/4/2021,XAUUSD,681540.45,25791.49,26.425013
8/5/2021,XAUUSD,582889.54,20071.41,29.040787
8/6/2021,XAUUSD,-7555886.96,23988.22,-314.983228
8/9/2021,XAUUSD,63213.78,20710.8,3.052213
8/10/2021,XAUUSD,-443487.18,15673.56,-28.295242
8/11/2021,XAUUSD,-805441.97,17223.08,-46.765269
8/12/2021,XAUUSD,-608802.32,14669.4,-41.501515
8/13/2021,XAUUSD,-2613302.47,14715.76,-177.585288
8/16/2021,XAUUSD,-690805.87,12255.26,-56.368112
8/17/2021,XAUUSD,-684649.86,11252.94,-60.841866
8/18/2021,XAUUSD,69168.32,12418.58,5.569745
8/19/2021,XAUUSD,173862.41,11972.79,14.521462
8/20/2021,XAUUSD,382604.43,10265.91,37.269412
8/23/2021,XAUUSD,-1102237.36,14682.94,-75.069254
8/24/2021,XAUUSD,-35549.41,11237.75,-3.163392
8/25/2021,XAUUSD,-40744.83,16431.43,-2.479689
8/26/2021,XAUUSD,321236.46,14497.98,22.157325
8/27/2021,XAUUSD,-422651.57,18449.44,-22.908639
8/30/2021,XAUUSD,-147990.91,11583.12,-12.776429
8/31/2021,XAUUSD,484063.22,18530.2,26.122936
9/1/2021,XAUUSD,938506.76,16494.6,56.897819
9/2/2021,XAUUSD,1115376.97,17203.77,64.833288
9/3/2021,XAUUSD,-729716.87,20848.35,-35.001181
9/6/2021,XAUUSD,169598.55,9154.73,18.525784
9/7/2021,XAUUSD,-4198626.49,26442.9,-158.780863
9/8/2021,XAUUSD,-881599.94,16075.95,-54.839679
9/9/2021,XAUUSD,160896.36,16941.3,9.497286
9/10/2021,XAUUSD,117668.16,13815.49,8.517118
9/13/2021,XAUUSD,294908.3,15574.37,18.935488
9/14/2021,XAUUSD,630126.34,22593.08,27.890237
9/15/2021,XAUUSD,684816,18400.34,37.217573
9/16/2021,XAUUSD,-8360488.04,27547.53,-303.4932
9/17/2021,XAUUSD,187.4,19745.17,0.009491
9/20/2021,XAUUSD,-1305308.45,16728.65,-78.02832
9/21/2021,XAUUSD,-1156950.74,14746.72,-78.454785
9/22/2021,XAUUSD,8521.82,16872.36,0.505076
9/23/2021,XAUUSD,-1855828.37,19174.17,-96.787937
9/24/2021,XAUUSD,354357.33,13642.01,25.975449
9/27/2021,XAUUSD,515575.92,16289.5,31.650813
9/28/2021,XAUUSD,-1918825.27,21867.22,-87.748935
9/29/2021,XAUUSD,-391115.99,19283.6,-20.282312
9/30/2021,XAUUSD,-1301059.81,23401.54,-55.597188
10/1/2021,XAUUSD,18909.96,15504.32,1.219658
10/4/2021,XAUUSD,-51853.54,20701.09,-2.50487
10/5/2021,XAUUSD,237127.17,17757.88,13.353349
10/6/2021,XAUUSD,615878.47,20911.82,29.451213
10/7/2021,XAUUSD,795787.72,20601.37,38.627903
10/8/2021,XAUUSD,-63755.7,24719.61,-2.579155
10/11/2021,XAUUSD,687727.95,17595.33,39.085823
10/12/2021,XAUUSD,1432756.26,24812.4,57.743558
10/13/2021,XAUUSD,-1603388.35,30368.72,-52.797363
10/14/2021,XAUUSD,-956473.35,18447.17,-51.849327
10/15/2021,XAUUSD,-1540047.39,22517.97,-68.391928
10/18/2021,XAUUSD,232244.38,19105.52,12.155879
10/19/2021,XAUUSD,-108047.87,23226.15,-4.651992
10/20/2021,XAUUSD,235718.55,20173.99,11.68428
10/21/2021,XAUUSD,706030.32,21324.41,33.10902
10/22/2021,XAUUSD,-3330873.61,29808.71,-111.741622
10/25/2021,XAUUSD,471865.31,19902.42,23.708941
10/26/2021,XAUUSD,-215185.13,25347.18,-8.48951
10/27/2021,XAUUSD,439317.78,24715.03,17.775329
