date,open,high,low,close,trend
2015.11.23,1.51846,1.51949,1.51087,1.51247,1
2015.11.24,1.51247,1.51553,1.50533,1.50755,1
2015.11.25,1.50758,1.51357,1.50556,1.51288,1
2015.11.26,1.51284,1.51303,1.50656,1.51016,1
2015.11.27,1.51011,1.51096,1.50279,1.50285,1
2015.11.30,1.50319,1.50684,1.49938,1.50554,1
2015.12.01,1.50546,1.51253,1.50505,1.50799,1
2015.12.02,1.50806,1.50819,1.48941,1.49504,1
2015.12.03,1.49512,1.51587,1.49036,1.51421,1
2015.12.04,1.51428,1.5156,1.50775,1.51047,1
2015.12.07,1.51058,1.51146,1.5044,1.50547,1
2015.12.08,1.50546,1.50605,1.49563,1.50063,1
2015.12.09,1.50064,1.51912,1.50035,1.51805,1
2015.12.10,1.51773,1.52015,1.51106,1.51593,1
2015.12.11,1.51594,1.52397,1.51248,1.52185,1
2015.12.14,1.52297,1.52302,1.51074,1.51396,1
2015.12.15,1.51398,1.51839,1.50289,1.50375,1
2015.12.16,1.50373,1.50978,1.49578,1.50006,1
2015.12.17,1.50005,1.50112,1.48647,1.48972,1
2015.12.18,1.48949,1.49494,1.48847,1.48859,1
2015.12.21,1.48983,1.49287,1.48768,1.48797,1
2015.12.22,1.48798,1.49072,1.48051,1.48262,1
2015.12.23,1.48263,1.49,1.48174,1.4869,1
2015.12.24,1.48688,1.49447,1.48582,1.49007,1
2015.12.28,1.49104,1.49333,1.48737,1.48798,1
2015.12.29,1.48772,1.49129,1.47853,1.48117,1
2015.12.30,1.48118,1.4848,1.47925,1.48087,1
2015.12.31,1.48088,1.4844,1.47259,1.4734,1
2016.01.04,1.47296,1.48154,1.46626,1.47109,1
2016.01.05,1.4712,1.47248,1.46378,1.46737,1
2016.01.06,1.46734,1.46809,1.46019,1.46297,1
2016.01.07,1.46299,1.46402,1.45328,1.46164,1
2016.01.08,1.46167,1.46446,1.45058,1.45164,1
2016.01.11,1.45217,1.4604,1.44921,1.45393,1
2016.01.12,1.45393,1.45598,1.43515,1.44427,1
2016.01.13,1.44429,1.44756,1.43795,1.44056,1
2016.01.14,1.44056,1.4445,1.43596,1.44099,1
