day,symbol,spread
2022-12-05,NZDUSD.fix,0.00039999999999995595
2022-12-07,EURUSD.fix,0.00019999999999997797
2023-01-09,XRPUSD.test,0.0010200000000000209
2022-07-31,AUDUSD.fix,0.00039999999999995595
2022-08-25,EURGBP.fix,0.00029999999999996696
2022-09-21,GBPJPY.fix,0.0800000000000125
2022-09-22,USDCAD.fix,0.00039999999999995595
2022-09-26,EURJPY.fix,0.039999999999992042
2022-10-05,USDCHF.fix,0.00039999999999995595
2022-10-12,XAUUSD.fix,0.79999999999995453
2022-10-16,EURJPY.fix,0.039999999999992042
2022-10-18,USDCAD.fix,0.00039999999999995595
2022-11-17,USDCHF.fix,0.00039999999999995595
2022-12-01,USDCHF.fix,0.00039999999999995595
2022-12-04,AUDUSD.fix,0.00039999999999995595
2023-02-27,XRPUSD.test,0.0010200000000000209
2022-08-09,NZDUSD.fix,0.00039999999999995595
2022-09-02,AUDUSD.fix,0.00039999999999995595
2022-09-06,NZDUSD.fix,0.00039999999999995595
2022-09-07,EURGBP.fix,0.00029999999999996696
2022-09-15,NZDUSD.fix,0.00039999999999995595
2022-10-12,AUDUSD.fix,0.00039999999999995595
2022-10-13,USDCAD.fix,0.00039999999999995595
2022-10-25,GBPJPY.fix,0.0800000000000125
2022-10-25,USDJPY.fix,0.030000000000001137
2022-11-08,USDCAD.fix,0.00039999999999995595
2022-11-24,USDCAD.fix,0.00039999999999995595
2022-11-25,XAUUSD.fix,0.79999999999995453
2022-11-28,AUDUSD.fix,0.00039999999999995595
2022-12-02,XAGUSD.fix,0.059999999999998721
2022-12-05,GBPJPY.fix,0.0800000000000125
2022-12-08,GBPUSD.fix,0.00029999999999996696
2022-12-14,EURJPY.fix,0.039999999999992042
2023-02-22,XRPUSD.test,0.0010200000000000209
2022-08-03,USDCAD.fix,0.00039999999999995595
2022-08-11,GBPJPY.fix,0.0800000000000125
2022-08-11,XAGUSD.fix,0.059999999999998721
2022-08-23,GBPJPY.fix,0.0800000000000125
2022-08-25,EURUSD.fix,0.00019999999999997797
2022-08-31,XAGUSD.fix,0.059999999999998721
2022-09-01,USDCAD.fix,0.00039999999999995595
2022-09-06,EURJPY.fix,0.039999999999992042
2022-09-08,USDCAD.fix,0.00039999999999995595
2022-09-09,USDJPY.fix,0.030000000000001137
2022-09-11,USDCHF.fix,0.00039999999999995595
2022-10-25,USDCAD.fix,0.00039999999999995595
2022-10-26,XAUUSD.fix,0.79999999999995453
2022-11-03,USDCHF.fix,0.00039999999999995595
2022-11-07,NZDUSD.fix,0.00039999999999995595
2022-11-13,GBPJPY.fix,0.0800000000000125
2022-11-13,XAGUSD.fix,0.059999999999998721
2022-11-21,XAUUSD.fix,0.79999999999995453
2022-11-22,XAGUSD.fix,0.059999999999998721
2022-11-24,NZDUSD.fix,0.00039999999999995595
2022-11-30,AUDUSD.fix,0.00039999999999995595
2022-12-14,USDCAD.fix,0.00039999999999995595
2022-12-19,XAGUSD.fix,0.059999999999998721
2023-02-20,TRXUSD,0.0002400000000000041
2022-08-03,AUDUSD.fix,0.00039999999999995595
2022-08-05,EURUSD.fix,0.00019999999999997797
2022-08-09,EURUSD.fix,0.00019999999999997797
2022-08-18,XAUUSD.fix,0.79999999999995453
2022-08-19,EURJPY.fix,0.039999999999992042
2022-08-19,GBPJPY.fix,0.0800000000000125
2022-08-29,EURJPY.fix,0.039999999999992042
2022-09-30,XAUUSD.fix,0.79999999999995453
2022-10-04,EURUSD.fix,0.00019999999999997797
2022-10-07,XAGUSD.fix,0.059999999999998721
2022-10-13,NZDUSD.fix,0.00039999999999995595
2022-10-28,NZDUSD.fix,0.00039999999999995595
2022-11-01,EURGBP.fix,0.00029999999999996696
2022-11-24,EURUSD.fix,0.00019999999999997797
2022-11-25,NZDUSD.fix,0.00039999999999995595
2022-11-27,XAUUSD.fix,0.79999999999995453
2022-12-09,XAUUSD.fix,0.79999999999995453
2022-12-22,GBPUSD.fix,0.00029999999999996696
2023-02-14,TWTUSD,0.0016300000000000203
2022-08-02,GBPUSD.fix,0.00029999999999996696
2022-08-23,XAUUSD.fix,0.79999999999995453
2022-09-01,GBPUSD.fix,0.00029999999999996696
2022-09-11,USDCAD.fix,0.00039999999999995595
2022-09-15,EURUSD.fix,0.00019999999999997797
2022-09-19,NZDUSD.fix,0.00039999999999995595
2022-09-25,USDCAD.fix,0.00039999999999995595
2022-10-19,XAUUSD.fix,0.79999999999995453
2022-10-20,AUDUSD.fix,0.00039999999999995595
2022-10-20,XAGUSD.fix,0.059999999999998721
2022-10-26,XAGUSD.fix,0.059999999999998721
2022-11-30,XAUUSD.fix,0.79999999999995453
2022-12-14,GBPUSD.fix,0.00029999999999996696
2022-12-18,USDCHF.fix,0.00039999999999995595
2023-02-11,TWTUSD,0.0010000000000001119
2022-08-07,AUDUSD.fix,0.00039999999999995595
2022-08-09,USDJPY.fix,0.030000000000001137
2022-08-31,NZDUSD.fix,0.00039999999999995595
2022-08-31,XAUUSD.fix,0.79999999999995453
2022-09-06,USDCHF.fix,0.00039999999999995595
2022-10-03,AUDUSD.fix,0.00039999999999995595
2022-10-11,EURGBP.fix,0.00029999999999996696
2022-10-11,USDCHF.fix,0.00039999999999995595
2022-10-12,USDCAD.fix,0.00039999999999995595
2022-10-14,XAUUSD.fix,0.79999999999995453
2022-10-26,EURJPY.fix,0.039999999999992042
2022-10-28,XAUUSD.fix,0.79999999999995453
2022-11-03,EURJPY.fix,0.039999999999992042
2022-11-13,EURUSD.fix,0.00019999999999997797
2022-12-02,USDCHF.fix,0.00039999999999995595
2022-12-19,XAUUSD.fix,0.79999999999995453
2023-02-08,TWTUSD,0.00099999999999988987
2023-02-08,XRPUSD.test,0.0010200000000000209
2023-02-12,TWTUSD,0.00099999999999988987
2022-07-31,EURGBP.fix,0.00029999999999996696
2022-08-08,USDJPY.fix,0.030000000000001137
2022-08-11,EURUSD.fix,0.00019999999999997797
2022-08-15,EURJPY.fix,0.039999999999992042
2022-08-18,EURUSD.fix,0.00019999999999997797
2022-08-19,USDCAD.fix,0.00039999999999995595
2022-09-07,USDCHF.fix,0.00039999999999995595
2022-09-11,EURGBP.fix,0.00029999999999996696
2022-09-16,EURJPY.fix,0.039999999999992042
2022-09-18,NZDUSD.fix,0.00039999999999995595
2022-09-30,GBPJPY.fix,0.0800000000000125
2022-10-03,GBPUSD.fix,0.00029999999999996696
2022-10-04,USDCHF.fix,0.00039999999999995595
2022-10-24,EURUSD.fix,0.00019999999999997797
2022-11-01,XAGUSD.fix,0.059999999999998721
2022-11-30,EURJPY.fix,0.039999999999992042
2022-12-13,AUDUSD.fix,0.00039999999999995595
2022-12-19,USDJPY.fix,0.030000000000001137
2023-02-14,TRXUSD,0.0002400000000000041
2023-02-19,TWTUSD,0.00099999999999988987
2022-07-31,USDCAD.fix,0.00039999999999995595
