day,symbol_name,profit,volume,PnL/Lot,Coef
2/17/2020,USDJPY,-1368,218.75,-6.255482,-0.0002
2/18/2020,USDJPY,-780,393.68,-1.980583,0.000308
2/19/2020,USDJPY,-152628,1152.43,-132.440158,2.81E-07
2/20/2020,USDJPY,-89423,1203.95,-74.274877,-2.91E-05
2/21/2020,USDJPY,-9185,712.6,-12.889246,0.001132
2/24/2020,USDJPY,27,729.02,0.037565,-0.00033
2/25/2020,USDJPY,-4697,702.07,-6.690221,-0.00015
2/26/2020,USDJPY,5986,697.91,8.576607,0.001548
2/27/2020,USDJPY,7728,1006.91,7.67538,0.000133
2/28/2020,USDJPY,-50850,903.56,-56.27743,0.000289
3/2/2020,USDJPY,-1281,1022.47,-1.253021,0.001282
3/3/2020,USDJPY,-15254,870.04,-17.532911,0.000759
3/4/2020,USDJPY,4396,627.59,7.004271,-0.0006
3/5/2020,USDJPY,-101281,999.46,-101.335886,-0.00223
3/6/2020,USDJPY,-77335,911.07,-84.883427,-1.20E-03
3/9/2020,USDJPY,-178217,1542.86,-115.511078,5.21E-05
3/10/2020,USDJPY,30310,1438.5,21.070542,-0.00054
3/11/2020,USDJPY,-8590,1105.75,-7.768871,-0.00095
3/12/2020,USDJPY,-115551,1366.76,-84.543957,1.58E-05
3/13/2020,USDJPY,3074,1034.16,2.972446,-0.00018
3/16/2020,USDJPY,-15663,1164.1,-13.455078,0.000118
3/17/2020,USDJPY,-6088,824.38,-7.38448,0.000425
3/18/2020,USDJPY,-30482,968.02,-31.489158,0.000294
3/19/2020,USDJPY,-40372,990.1,-40.775418,2.72E-04
3/20/2020,USDJPY,-38022,1189.08,-31.97573,0.000215
3/23/2020,USDJPY,-48071,1092.15,-44.014764,-0.00011
3/24/2020,USDJPY,-19238,1106.93,-17.379568,-0.00076
3/25/2020,USDJPY,18002,1502.94,11.977638,-0.00107
3/26/2020,USDJPY,29824,2592.84,11.502626,-0.00041
3/27/2020,USDJPY,25590,2123.38,12.051378,0.001077
3/30/2020,USDJPY,-48859,2544.73,-19.199954,0.000837
3/31/2020,USDJPY,-18576,2531.65,-7.337585,-0.0002
4/1/2020,USDJPY,13808,2244.57,6.151608,0.000308
4/2/2020,USDJPY,-9322,2471.06,-3.772385,2.81E-07
4/3/2020,USDJPY,-26264,2266.5,-11.587999,-2.91E-05
4/6/2020,USDJPY,-38451,2321.34,-16.56435,0.001132
4/7/2020,USDJPY,-7590,2218.16,-3.421639,-0.00033
4/8/2020,USDJPY,-10599,2095.6,-5.057776,-0.00015
4/9/2020,USDJPY,-22258,1850.9,-12.025277,0.001548
4/10/2020,USDJPY,-5280,628.91,-8.395408,0.000133
4/13/2020,USDJPY,-5420,2345.16,-2.311351,0.000289
4/14/2020,USDJPY,-14550,2222.11,-6.547816,0.001282
4/15/2020,USDJPY,-13256,2627.92,-5.044292,0.000759
4/16/2020,USDJPY,-20287,1847.1,-10.983104,-0.0006
4/17/2020,USDJPY,-10603,1665.12,-6.367447,-0.00223
4/20/2020,USDJPY,-962,2250.01,-0.427481,-1.20E-03
4/21/2020,USDJPY,2446,2666.47,0.91713,5.21E-05
4/22/2020,USDJPY,-167,1573.78,-0.106012,-0.00054
4/23/2020,USDJPY,6290,1463.18,4.298575,-0.00095
4/24/2020,USDJPY,1509,606.79,2.48694,1.58E-05
4/27/2020,USDJPY,3571,1329.02,2.686898,-0.00018
4/28/2020,USDJPY,-28128,1181.08,-23.815239,0.000118
4/29/2020,USDJPY,-16262,1011.88,-16.071251,0.000425
4/30/2020,USDJPY,-40528,1672.86,-24.22664,0.000294
5/1/2020,USDJPY,-9019,1009.04,-8.938122,2.72E-04
5/4/2020,USDJPY,-1790,718.81,-2.490352,0.000215
5/5/2020,USDJPY,1339,1224.51,1.093239,-0.00011
5/6/2020,USDJPY,-10435,1049.94,-9.938355,-0.00076
5/7/2020,USDJPY,-6701,1193.87,-5.612468,-0.00107
5/8/2020,USDJPY,530,1014.59,0.521908,-0.00041
5/11/2020,USDJPY,-45559,1619.88,-28.124678,0.001077
5/12/2020,USDJPY,11005,1406.11,7.826702,0.000837
5/13/2020,USDJPY,3907,1028.09,3.800708,-0.0002
5/14/2020,USDJPY,1665,985.28,1.689738,0.000308
5/15/2020,USDJPY,4619,1128.8,4.092168,2.81E-07
5/18/2020,USDJPY,-7114,1043.57,-6.817201,-2.91E-05
5/19/2020,USDJPY,-11316,1227.13,-9.22112,0.001132
5/20/2020,USDJPY,-11842,844.78,-14.017391,-0.00033
5/21/2020,USDJPY,-320,689.77,-0.464441,-0.00015
5/22/2020,USDJPY,-3362,709.14,-4.741277,0.001548
5/25/2020,USDJPY,-4455,522.45,-8.526764,0.000133
5/26/2020,USDJPY,5584,1158.84,4.818787,0.000289
5/27/2020,USDJPY,-6956,923.74,-7.530674,0.001282
5/28/2020,USDJPY,-989,548.28,-1.802938,0.000759
5/29/2020,USDJPY,-6186,1184.11,-5.22449,-0.0006
6/1/2020,USDJPY,11686,927.05,12.60608,-0.00223
6/2/2020,USDJPY,-35692,1030.88,-34.623301,-1.20E-03
6/3/2020,USDJPY,-13808,1007.15,-13.709596,5.21E-05
6/4/2020,USDJPY,-13625,943.7,-14.437384,-0.00054
6/5/2020,USDJPY,-12478,826.36,-15.099663,-0.00095
6/8/2020,USDJPY,-34281,1285.11,-26.675148,1.58E-05
6/9/2020,USDJPY,-14730,1184.41,-12.436382,-0.00018
6/10/2020,USDJPY,-33963,1143.91,-29.690243,0.000118
6/11/2020,USDJPY,-22656,1195.71,-18.948087,0.000425
6/12/2020,USDJPY,-6657,834.75,-7.975318,0.000294
6/15/2020,USDJPY,-2059,904.69,-2.276183,2.72E-04
6/16/2020,USDJPY,6492,918.13,7.070606,0.000215
6/17/2020,USDJPY,-18357,802.62,-22.871176,-0.00011
6/18/2020,USDJPY,1993,1221.59,1.631814,-0.00076
6/19/2020,USDJPY,4769,743.43,6.415027,-0.00107
6/22/2020,USDJPY,-1084,473.07,-2.291145,-0.00041
6/23/2020,USDJPY,-17736,1465.61,-12.101208,0.001077
6/24/2020,USDJPY,-3176,819.61,-3.874626,0.000837
6/25/2020,USDJPY,-30192,1254.27,-24.071178,-0.0002
6/26/2020,USDJPY,9038,1063.28,8.499929,0.000308
6/29/2020,USDJPY,14218,1009.04,14.091077,2.81E-07
6/30/2020,USDJPY,-12592,1694.19,-7.432536,-2.91E-05
7/1/2020,USDJPY,-12912,1391.11,-9.281527,0.001132
7/2/2020,USDJPY,-260,1166.59,-0.223162,-0.00033
7/3/2020,USDJPY,-10374,441.08,-23.51934,-0.00015
7/6/2020,USDJPY,-4944,1142.89,-4.326307,0.001548
7/7/2020,USDJPY,-20398,1362.23,-14.974149,0.000133
7/8/2020,USDJPY,-11197,826.55,-13.546264,0.000289
7/9/2020,USDJPY,-6289,933.01,-6.740559,0.001282
7/10/2020,USDJPY,-8612,1488.59,-5.785529,0.000759
7/13/2020,USDJPY,3562,1008,3.533712,-0.0006
7/14/2020,USDJPY,-5785,649.9,-8.901217,-0.00223
7/15/2020,USDJPY,1191,831.23,1.432581,-1.20E-03
7/16/2020,USDJPY,3,778.21,0.003762,5.21E-05
7/17/2020,USDJPY,4762,627.46,7.589851,-0.00054
7/20/2020,USDJPY,1088,751.56,1.447168,-0.00095
7/21/2020,USDJPY,-17742,623.41,-28.45895,1.58E-05
7/22/2020,USDJPY,-3581,538.81,-6.646444,-0.00018
7/23/2020,USDJPY,8525,737.8,11.555038,0.000118
7/24/2020,USDJPY,-42565,1149.7,-37.022309,0.000425
7/27/2020,USDJPY,-30954,1002.46,-30.877665,0.000294
7/28/2020,USDJPY,-19901,1049.32,-18.965932,2.72E-04
7/29/2020,USDJPY,-9519,1101.67,-8.640901,0.000215
7/30/2020,USDJPY,-23312,1176.72,-19.811147,-0.00011
7/31/2020,USDJPY,-100500,1473.52,-68.204098,-0.00076
8/3/2020,USDJPY,-26942,1459.68,-18.457661,-0.00107
8/4/2020,USDJPY,-10936,1208.21,-9.051425,-0.00041
8/5/2020,USDJPY,-2182,1524.57,-1.431208,0.001077
8/6/2020,USDJPY,18947,1453.74,13.033458,0.000837
8/7/2020,USDJPY,-12621,741.57,-17.019852,-0.0002
8/10/2020,USDJPY,-39213,966.57,-40.569047,0.000308
8/11/2020,USDJPY,-3159,820.59,-3.850022,2.81E-07
8/12/2020,USDJPY,6770,1434.36,4.71989,-2.91E-05
8/13/2020,USDJPY,-8306,925.54,-8.974132,0.001132
8/14/2020,USDJPY,8874,668.57,13.272475,-0.00033
8/17/2020,USDJPY,-6279,884.51,-7.099063,-0.00015
8/18/2020,USDJPY,-71451,1655.81,-43.151826,0.001548
8/19/2020,USDJPY,-1511,1456.31,-1.037511,0.000133
8/20/2020,USDJPY,-1481,972.51,-1.522913,0.000289
8/21/2020,USDJPY,6609,744.64,8.87488,0.001282
8/24/2020,USDJPY,-4807,772.36,-6.223482,0.000759
8/25/2020,USDJPY,-4592,1026.03,-4.475475,-0.0006
8/26/2020,USDJPY,1953,925.23,2.1111,-0.00223
8/27/2020,USDJPY,-8646,1049.62,-8.23745,-1.20E-03
8/28/2020,USDJPY,11202,1553.22,7.212083,5.21E-05
8/31/2020,USDJPY,4730,1516.74,3.118281,-0.00054
9/1/2020,USDJPY,-12771,1254.77,-10.177958,-0.00095
9/2/2020,USDJPY,-3823,903.13,-4.233228,1.58E-05
9/3/2020,USDJPY,24812,1345.91,18.435138,-0.00018
9/4/2020,USDJPY,2010,859.7,2.338332,0.000118
9/7/2020,USDJPY,-3308,531.08,-6.229261,0.000425
9/8/2020,USDJPY,-8260,1037.2,-7.963928,0.000294
9/9/2020,USDJPY,-12063,731.15,-16.498866,2.72E-04
9/10/2020,USDJPY,14788,858.77,17.2195,0.000215
9/11/2020,USDJPY,-1552,421.87,-3.678859,-0.00011
9/14/2020,USDJPY,21827,953.8,22.884435,-0.00076
9/15/2020,USDJPY,1673,755.33,2.214703,-0.00107
9/16/2020,USDJPY,-19654,1504.9,-13.060051,-0.00041
9/17/2020,USDJPY,-22641,1480.99,-15.287549,0.001077
9/18/2020,USDJPY,-39683,1719.92,-23.072699,0.000837
9/21/2020,USDJPY,4041,3101.43,1.302895,-0.0002
9/22/2020,USDJPY,29232,1269.08,23.034073,0.000308
9/23/2020,USDJPY,8757,1019.73,8.587741,2.81E-07
9/24/2020,USDJPY,-2845,775.08,-3.669944,-2.91E-05
9/25/2020,USDJPY,-30039,726.97,-41.321245,0.001132
9/28/2020,USDJPY,130,1104.66,0.117988,-0.00033
9/29/2020,USDJPY,-1422,1195.37,-1.189667,-0.00015
9/30/2020,USDJPY,9544,1304.29,7.317161,0.001548
10/1/2020,USDJPY,2746,787.97,3.484455,0.000133
10/2/2020,USDJPY,42504,1179.33,36.040603,0.000289
10/5/2020,USDJPY,-31744,1688,-18.805544,0.001282
10/6/2020,USDJPY,11400,1047.24,10.885984,0.000759
10/7/2020,USDJPY,-33478,1427.39,-23.453681,-0.0006
10/8/2020,USDJPY,-6827,538.79,-12.670234,-0.00223
10/9/2020,USDJPY,11550,911.81,12.666675,-1.20E-03
10/12/2020,USDJPY,1378,713.18,1.932742,5.21E-05
10/13/2020,USDJPY,879,645.44,1.362443,-0.00054
10/14/2020,USDJPY,-37904,772.87,-49.043291,-0.00095
10/15/2020,USDJPY,4981,693.24,7.185477,1.58E-05
10/16/2020,USDJPY,6987,501.83,13.922954,-0.00018
10/19/2020,USDJPY,8472,671.19,12.621897,0.000118
10/20/2020,USDJPY,-8850,874.22,-10.123531,0.000425
10/21/2020,USDJPY,-86069,1381.76,-62.289099,0.000294
10/22/2020,USDJPY,20865,1015.58,20.545,2.72E-04
10/23/2020,USDJPY,5189,805.89,6.438713,0.000215
10/26/2020,USDJPY,5951,700.77,8.491676,-0.00076
10/27/2020,USDJPY,-19540,1514.75,-12.89962,-0.00107
10/28/2020,USDJPY,-56485,1966.56,-28.722697,-0.00041
10/29/2020,USDJPY,23788,1591.69,14.945093,0.001077
10/30/2020,USDJPY,34758,1196.05,29.060767,0.000837
11/2/2020,USDJPY,3597,738.85,4.867698,-0.0002
11/3/2020,USDJPY,-10517,744.06,-14.134363,0.000308
11/4/2020,USDJPY,10350,1325.93,7.805905,2.81E-07
11/5/2020,USDJPY,-64337,1296.92,-49.607319,-2.91E-05
11/6/2020,USDJPY,-29686,934.49,-31.767249,0.001132
11/9/2020,USDJPY,73083,1522.47,48.002908,-0.00033
11/10/2020,USDJPY,4447,825.76,5.385941,-0.00015
11/11/2020,USDJPY,-13495,688.81,-19.59191,0.001548
11/12/2020,USDJPY,534,683.63,0.781283,0.000133
11/13/2020,USDJPY,3345,863.27,3.87513,0.000289
11/16/2020,USDJPY,2886,849.82,3.396371,0.001282
11/17/2020,USDJPY,-8698,1140.09,-7.62935,0.000759
11/18/2020,USDJPY,-54308,1187.76,-45.723114,-6.00E-04
11/19/2020,USDJPY,21779,1200.23,18.145792,-0.00223
11/20/2020,USDJPY,-1129,602.05,-1.874904,-1.20E-03
11/23/2020,USDJPY,67499,1313.99,51.369384,5.21E-05
11/24/2020,USDJPY,7518,815.64,9.217249,-0.00054
11/25/2020,USDJPY,-1428,520.73,-2.741882,-0.00095
11/26/2020,USDJPY,-6613,388.99,-16.999438,1.58E-05
11/27/2020,USDJPY,-6373,727.47,-8.761115,-0.00018
11/30/2020,USDJPY,7272,949.64,7.657364,0.000118
12/1/2020,USDJPY,-7224,686.49,-10.523185,0.000425
12/2/2020,USDJPY,-3643,537.84,-6.773936,0.000294
12/3/2020,USDJPY,-31131,803.59,-38.740095,2.72E-04
12/4/2020,USDJPY,2656,716.54,3.707016,0.000215
12/7/2020,USDJPY,-1808,810.85,-2.229468,-0.00011
12/8/2020,USDJPY,-1144,447.7,-2.555132,-0.00076
12/9/2020,USDJPY,-4606,532.21,-8.653654,-0.00107
12/10/2020,USDJPY,3561,658.59,5.407169,-0.00041
12/11/2020,USDJPY,2776,548.92,5.056462,0.001077
12/14/2020,USDJPY,5487,880.69,6.229797,0.000837
12/15/2020,USDJPY,-8177,803.28,-10.179447,-0.0002
12/16/2020,USDJPY,-22759,1565.32,-14.539244,0.000308
12/17/2020,USDJPY,-45781,1255.3,-36.469972,2.81E-07
12/18/2020,USDJPY,22615,1057.31,21.389163,-2.91E-05
12/21/2020,USDJPY,-5035,1268.53,-3.969365,0.001132
12/22/2020,USDJPY,-6291,926.94,-6.787276,-0.00033
12/23/2020,USDJPY,4261,763.59,5.580226,-0.00015
12/24/2020,USDJPY,-1867,321.39,-5.809788,0.001548
12/28/2020,USDJPY,7282,666.11,10.932827,0.000289
12/29/2020,USDJPY,5454,570.85,9.5547,0.001282
12/30/2020,USDJPY,-12850,1103.38,-11.646211,0.000759
12/31/2020,USDJPY,-7341,550,-13.34777,-0.0006
1/4/2021,USDJPY,-7668,1162.32,-6.597496,-2.23E-03
