date,open,high,low,close,TR,ATR,NATR,CHOP
2015.07.27,1099.25,1105.03,1088.5,1093.77,16.53,16.34642857,0.014945033,-313.3137525
2015.07.28,1094.91,1099.01,1091.59,1095.1,7.42,15.62214286,0.014265494,-310.3655719
2015.07.29,1095.15,1101.96,1090.3,1096.83,11.66,15.60714286,0.014229318,-309.4685045
2015.07.30,1095.91,1098.65,1082.51,1088.33,16.14,16.18285714,0.01486944,-309.8803554
2015.07.31,1088.76,1103.42,1080.01,1095.49,23.41,16.86785714,0.015397546,-310.4654449
2015.08.03,1095.79,1097.68,1085.8,1086.49,11.88,17.22214286,0.015851175,-310.040441
2015.08.04,1085.07,1094.73,1080.91,1087.43,13.82,17.22928571,0.015844041,-308.8792688
2015.08.05,1087.74,1092.57,1082.95,1084.84,9.62,17.405,0.016043841,-308.0985962
2015.08.06,1084.76,1094.01,1083.47,1089.42,10.54,17.10642857,0.015702327,-306.2539807
2015.08.07,1089.48,1099.52,1082.76,1094.08,16.76,15.03214286,0.013739528,-300.476107
2015.08.10,1093.94,1108.91,1089.61,1104.25,19.3,15.45428571,0.013995278,-301.6336727
2015.08.11,1104.25,1119.35,1093.81,1108.7,25.54,16.10928571,0.014529887,-303.2577277
2015.08.12,1108.63,1125.76,1101.75,1124.14,24.01,16.50071429,0.014678523,-304.2768474
2015.08.13,1125.28,1126.68,1113.59,1115.02,13.09,15.69428571,0.01407534,-302.3458189
2015.08.14,1114.96,1121.02,1111.74,1114.99,9.28,15.17642857,0.013611269,-301.1677776
2015.08.17,1114.43,1122.77,1113.64,1117.34,9.13,15.29857143,0.013691957,-301.6365022
2015.08.18,1117.72,1121.14,1109.47,1117.42,11.67,15.29928571,0.013691616,-301.7518947
2015.08.19,1117.91,1134.58,1116.21,1133.78,18.37,15.45857143,0.013634542,-302.4631968
2015.08.20,1133.23,1154.03,1132.63,1151.84,21.4,15.315,0.013296118,-302.506577
2015.08.21,1153.74,1168.29,1148.91,1160.56,19.38,15.85071429,0.013657815,-304.4729979
2015.08.24,1162.13,1170.07,1145.37,1154.84,24.7,16.62785714,0.014398408,-306.8664945
2015.08.25,1155.45,1156.59,1134.6,1140.39,21.99,17.51142857,0.015355649,-309.2656662
2015.08.26,1141.14,1146.46,1117.66,1125.05,28.8,18.81571429,0.016724336,-312.1620533
2015.08.27,1125.42,1129.28,1118.1,1124.46,11.18,18.41714286,0.016378655,-310.660264
2015.08.28,1125.68,1140.76,1123.72,1133.94,17.04,18.25571429,0.016099365,-309.8272653
2015.08.31,1133.59,1136.6,1125.56,1134.66,11.04,17.22,0.015176352,-307.1531701
2015.09.01,1134.95,1147.87,1134.28,1139.97,13.59,16.47571429,0.014452761,-305.2822588
2015.09.02,1139.62,1142.44,1131.96,1133.77,10.48,16.28928571,0.014367363,-304.7259876
2015.09.03,1133.6,1134.31,1121.83,1124.89,12.48,16.51785714,0.014683975,-305.1039801
2015.09.04,1125.06,1132.32,1116.71,1122.25,15.61,16.98071429,0.015130955,-306.0013134
2015.09.07,1123.64,1124.79,1115.94,1118.86,8.85,16.77928571,0.01499677,-305.2101609
2015.09.08,1120.06,1126.72,1118.56,1121.34,8.16,16.05,0.014313232,-303.1390803
2015.09.09,1122.01,1125.33,1101.11,1107.48,24.22,16.25142857,0.014674241,-303.3953451
2015.09.10,1106.59,1114.98,1103.79,1110.54,11.19,15.66642857,0.014107037,-301.7105688
2015.09.11,1111.23,1112.85,1098.68,1107.59,14.17,14.91428571,0.013465529,-299.7663803
2015.09.14,1107.76,1110.45,1103.53,1108.67,6.92,13.83785714,0.012481493,-297.1117308
2015.09.15,1108.57,1109.32,1102.36,1104.96,6.96,12.27785714,0.011111585,-293.1106373
