date,open,high,low,close,CI,trend,in_progress
2016-04-12,107.93,108.79,107.87,108.54,31.894301106207966,1.0,0.0
2016-04-13,108.54,109.41,108.5,109.34,31.514291721955704,1.0,0.0
2016-04-14,109.33,109.54,108.89,109.36,31.17284805120923,1.0,0.0
2016-04-15,109.36,109.72,108.59,108.74,31.008707290309577,1.0,0.0
2016-04-18,108.16,108.98,107.83,108.8,37.544205128634275,1.0,0.0
2016-04-19,108.8,109.48,108.74,109.19,38.53833808448574,1.0,0.0
2016-04-20,109.19,109.88,108.76,109.83,39.55323558911536,1.0,0.0
2016-04-21,109.83,109.89,109.32,109.45,46.14405282033032,0.0,0.0
2016-04-22,109.45,111.8,109.25,111.79,46.639527768797194,0.0,0.0
2016-04-25,111.84,111.88,110.83,111.18,46.44466764490417,0.0,0.0
2016-04-26,111.18,111.47,110.66,111.3,47.054785442160586,0.0,0.0
2016-04-27,111.31,111.75,111.02,111.42,47.14114869046395,0.0,0.0
2016-04-28,111.42,111.88,107.86,108.08,47.71132484942182,0.0,0.0
2016-04-29,108.05,108.2,106.27,106.28,38.00151824088759,1.0,0.0
2016-05-02,106.22,106.82,106.13,106.41,37.793192254773835,1.0,0.0
2016-05-03,106.4,106.67,105.54,106.56,34.80736917010745,1.0,0.0
2016-05-04,106.55,107.45,106.24,106.97,35.589759606188565,1.0,0.0
2016-05-05,106.97,107.49,106.79,107.25,36.20720046432017,1.0,0.0
2016-05-06,107.25,107.42,106.43,107.1,36.795346797333096,1.0,0.0
2016-05-09,107.06,108.6,107.04,108.31,37.51276494519371,1.0,0.0
2016-05-10,108.31,109.35,108.27,109.26,38.123310085640306,1.0,0.0
2016-05-11,109.26,109.36,108.36,108.38,38.85454329057287,1.0,0.0
2016-05-12,108.4,109.39,108.22,108.98,39.08351903971784,1.0,0.0
2016-05-13,108.97,109.55,108.5,108.6,39.36554071608153,1.0,0.0
2016-05-16,108.61,109.09,108.46,109.0,39.69193483668732,1.0,0.0
2016-05-17,109.01,109.65,108.83,109.13,40.25238774382418,0.0,0.0
2016-05-18,109.12,110.25,108.71,110.19,51.26639621908916,0.0,0.0
2016-05-19,110.18,110.38,109.69,109.95,49.63285092585183,0.0,0.0
2016-05-20,109.95,110.58,109.84,110.1,47.529885459443584,0.0,0.0
2016-05-23,110.11,110.24,109.11,109.24,52.584436183878736,0.0,0.0
2016-05-24,109.23,110.13,109.17,109.99,53.53073041409618,0.0,0.0
2016-05-25,109.99,110.45,109.86,110.15,52.817408239451446,0.0,0.0
2016-05-26,110.15,110.23,109.41,109.76,58.112931834481444,0.0,0.0
2016-05-27,109.75,110.45,109.47,110.22,72.49775192693998,0.0,0.0
2016-05-30,110.4,111.44,110.35,111.1,59.749967101405865,0.0,0.5
2016-05-31,111.1,111.34,110.49,110.67,58.646811105332745,0.0,0.5
2016-06-01,110.67,110.82,109.04,109.53,60.81054635749117,0.0,0.0
2016-06-02,109.53,109.58,108.51,108.87,60.0269145458761,0.0,0.0
2016-06-03,108.87,109.13,106.51,106.54,40.561820269245125,1.0,0.5
2016-06-06,106.56,107.65,106.36,107.54,39.10475380872437,1.0,0.0
2016-06-07,107.54,107.9,107.15,107.33,39.10285544354429,1.0,0.0
2016-06-08,107.33,107.39,106.58,106.99,39.358278353164415,1.0,0.0
2016-06-09,106.98,107.17,106.25,107.04,38.82458745713586,1.0,0.0
2016-06-10,107.05,107.25,106.55,106.91,39.020626100291544,1.0,0.0
2016-06-13,106.8,106.85,105.73,106.22,35.684470181347855,1.0,0.0
2016-06-14,106.19,106.42,105.63,106.08,35.36335830446741,1.0,0.0
2016-06-15,106.08,106.39,105.42,106.01,34.409785436618996,1.0,0.0
2016-06-16,106.01,106.03,103.54,104.26,24.872684654023452,1.0,0.0
2016-06-17,104.26,104.83,104.08,104.14,25.995070257552324,1.0,0.0
2016-06-20,104.69,104.84,103.77,103.92,29.301960875985227,1.0,0.0
2016-06-21,103.92,105.06,103.57,104.72,36.90565794693513,1.0,0.0
2016-06-22,104.71,104.84,104.31,104.4,40.26680910379188,0.0,0.0
2016-06-23,104.41,106.15,104.0,106.11,49.696705950846656,0.0,0.0
2016-06-24,106.08,106.77,98.98,102.2,23.580800456733876,1.0,0.0
2016-06-27,101.53,102.47,101.4,101.93,26.9696060884474,1.0,0.0
2016-06-28,101.95,102.83,101.55,102.74,28.782911055616662,1.0,0.0
2016-06-29,102.75,102.93,102.17,102.81,29.874096878732512,1.0,0.0
2016-06-30,102.8,103.29,102.35,103.18,32.910106198820074,1.0,0.0
