date,open,high,low,close,CI,trend,in_progress
2022-10-28 06:00:00,146.176,146.581,146.078,146.094,,0.0,0.0
2022-10-28 07:00:00,146.096,146.302,145.978,146.265,,0.0,0.0
2022-10-28 08:00:00,146.264,146.434,146.198,146.412,,0.0,0.0
2022-10-28 09:00:00,146.411,146.638,146.31,146.595,,0.0,0.0
2022-10-28 10:00:00,146.594,147.125,146.531,147.063,,0.0,0.0
2022-10-28 11:00:00,147.062,147.578,147.034,147.431,,0.0,0.0
2022-10-28 12:00:00,147.421,147.853,147.369,147.667,,0.0,0.0
2022-10-28 13:00:00,147.667,147.72,147.521,147.637,,0.0,0.0
2022-10-28 14:00:00,147.64,147.724,147.128,147.465,,0.0,0.0
2022-10-28 15:00:00,147.467,147.828,147.121,147.709,,0.0,0.0
2022-10-28 16:00:00,147.706,147.721,147.355,147.461,,0.0,0.0
2022-10-28 17:00:00,147.443,147.674,147.254,147.5,,0.0,0.0
2022-10-28 18:00:00,147.497,147.707,147.411,147.672,,0.0,0.0
2022-10-28 19:00:00,147.673,147.75,147.628,147.709,,0.0,0.0
2022-10-28 20:00:00,147.708,147.735,147.586,147.661,,0.0,0.0
2022-10-28 21:00:00,147.66,147.663,147.481,147.512,,0.0,0.0
2022-10-28 22:00:00,147.511,147.518,147.34,147.411,,0.0,0.0
2022-10-28 23:00:00,147.41,147.563,147.402,147.45,,0.0,0.0
2022-10-30 23:00:00,147.786,147.789,147.6,147.756,,0.0,0.0
2022-10-31 00:00:00,147.754,147.754,147.5,147.687,,0.0,0.0
2022-10-31 01:00:00,147.697,147.824,147.607,147.806,,0.0,0.0
2022-10-31 02:00:00,147.804,148.27,147.743,148.214,,0.0,0.0
2022-10-31 03:00:00,148.212,148.255,148.058,148.089,,0.0,0.0
2022-10-31 04:00:00,148.099,148.176,148.002,148.04,,0.0,0.0
2022-10-31 05:00:00,148.04,148.091,147.856,147.874,,0.0,0.0
2022-10-31 06:00:00,147.874,147.981,147.8,147.961,,0.0,0.0
2022-10-31 07:00:00,147.965,147.996,147.773,147.904,,0.0,0.0
2022-10-31 08:00:00,147.903,147.919,147.731,147.811,57.493467489690744,0.0,0.0
2022-10-31 09:00:00,147.808,148.043,147.733,148.01,56.19695055536231,0.0,0.0
2022-10-31 10:00:00,148.011,148.331,147.979,148.253,52.6600966927308,0.0,0.0
2022-10-31 11:00:00,148.252,148.448,148.194,148.407,49.54302011554035,0.0,0.0
2022-10-31 12:00:00,148.408,148.69,148.38,148.613,43.781224173217545,0.0,0.0
2022-10-31 13:00:00,148.612,148.732,148.491,148.677,41.686774254259134,0.0,0.0
2022-10-31 14:00:00,148.675,148.784,148.629,148.737,42.760164364535655,0.0,0.0
2022-10-31 15:00:00,148.735,148.784,148.597,148.751,46.488836341242916,0.0,0.0
2022-10-31 16:00:00,148.749,148.783,148.418,148.762,45.616693629180354,0.0,0.0
2022-10-31 17:00:00,148.761,148.844,148.553,148.64,43.011449822935056,0.0,0.0
2022-10-31 18:00:00,148.635,148.664,148.537,148.593,42.88227267490954,0.0,0.0
2022-10-31 19:00:00,148.592,148.664,148.515,148.625,42.78804828676041,0.0,0.0
2022-10-31 20:00:00,148.625,148.636,148.526,148.615,42.82576616288096,0.0,0.0
2022-10-31 21:00:00,148.612,148.736,148.6,148.678,42.85246029443149,0.0,0.0
2022-10-31 22:00:00,148.674,148.751,148.664,148.743,42.81608353309675,0.0,0.0
2022-10-31 23:00:00,148.697,148.755,148.666,148.745,51.892515988202746,0.0,0.0
2022-11-01 00:00:00,148.744,148.749,148.58,148.655,62.02363413076671,0.0,0.0
2022-11-01 01:00:00,148.673,148.798,148.558,148.728,74.01235517426213,0.0,0.0
2022-11-01 02:00:00,148.728,148.818,148.625,148.725,76.22376257773556,0.0,0.0
2022-11-01 03:00:00,148.724,148.731,148.195,148.368,59.55837657294002,1.0,0.5
2022-11-01 04:00:00,148.368,148.429,148.12,148.165,54.91234179536261,1.0,0.5
2022-11-01 05:00:00,148.166,148.373,148.128,148.334,54.48161224380958,1.0,0.5
2022-11-01 06:00:00,148.334,148.431,148.299,148.399,53.98212247032931,1.0,0.5
2022-11-01 07:00:00,148.398,148.423,148.079,148.096,52.6615284688109,1.0,0.5
2022-11-01 08:00:00,148.096,148.171,147.632,147.79,34.60793296977793,1.0,0.0
2022-11-01 09:00:00,147.796,148.021,147.496,147.92,30.78712526495304,1.0,0.0
2022-11-01 10:00:00,147.92,147.964,147.504,147.537,31.45531672984183,1.0,0.0
2022-11-01 11:00:00,147.537,147.771,147.378,147.456,29.172831154446005,1.0,0.0
2022-11-01 12:00:00,147.455,147.456,146.982,147.23,21.31281208994149,1.0,0.0
2022-11-01 13:00:00,147.23,147.345,147.1,147.215,22.917198650504872,1.0,0.0
2022-11-01 14:00:00,147.208,147.304,146.986,147.051,24.71221632090764,1.0,0.0
2022-11-01 15:00:00,147.047,147.54,147.017,147.417,26.643395781011133,1.0,0.0
2022-11-01 16:00:00,147.439,148.209,147.439,148.091,30.81493045734022,1.0,0.0
2022-11-01 17:00:00,148.081,148.256,148.033,148.106,39.7461828345692,1.0,0.0
2022-11-01 18:00:00,148.112,148.219,147.72,148.168,41.487988959888696,0.0,0.0
2022-11-01 19:00:00,148.17,148.34,148.15,148.223,43.08559135235735,0.0,0.0
2022-11-01 20:00:00,148.224,148.278,148.148,148.148,44.961021962721254,0.0,0.0
2022-11-01 21:00:00,148.148,148.274,148.147,148.159,48.65573477132087,0.0,0.0
2022-11-01 22:00:00,148.158,148.246,148.158,148.224,49.58739692848763,0.0,0.0
2022-11-01 23:00:00,148.227,148.265,148.221,148.222,50.04344626710541,0.0,0.0
2022-11-02 00:00:00,148.22,148.313,148.096,148.134,50.181000087255164,0.0,0.0
2022-11-02 01:00:00,148.149,148.17,147.816,147.909,50.16138008678529,0.0,0.0
2022-11-02 02:00:00,147.897,147.962,147.181,147.221,50.211048357001445,0.0,0.0
2022-11-02 03:00:00,147.222,147.435,147.154,147.306,50.08492588304354,0.0,0.0
2022-11-02 04:00:00,147.301,147.406,147.231,147.313,50.679523481013575,0.0,0.0
2022-11-02 05:00:00,147.313,147.488,147.256,147.468,54.224704279235766,0.0,0.0
2022-11-02 06:00:00,147.463,147.701,147.453,147.616,52.97909379162968,0.0,0.0
2022-11-02 07:00:00,147.616,147.619,147.328,147.504,51.91272933847668,0.0,0.0
2022-11-02 08:00:00,147.5,147.56,147.245,147.417,50.59156971720714,0.0,0.0
2022-11-02 09:00:00,147.408,147.441,147.224,147.336,50.14630509232949,0.0,0.0
2022-11-02 10:00:00,147.338,147.357,147.021,147.151,44.79837541925467,0.0,0.0
2022-11-02 11:00:00,147.146,147.243,147.022,147.134,43.73146609452188,0.0,0.0
2022-11-02 12:00:00,147.133,147.19,146.813,146.845,37.4772232752993,1.0,0.0
2022-11-02 13:00:00,146.845,147.142,146.845,147.068,37.36700077509515,1.0,0.0
2022-11-02 14:00:00,147.068,147.38,147.022,147.09,41.31117004483597,0.0,0.0
2022-11-02 15:00:00,147.089,147.156,146.896,147.029,47.72632255951022,0.0,0.0
2022-11-02 16:00:00,147.029,147.107,146.854,146.91,57.03968595655566,0.0,0.0
2022-11-02 17:00:00,146.909,147.149,146.904,147.111,56.53437491908205,0.0,0.0
2022-11-02 18:00:00,147.11,147.164,147.041,147.056,56.08541753945315,0.0,0.0
2022-11-02 19:00:00,147.056,147.157,146.967,147.02,55.80550094460968,0.0,0.0
2022-11-02 20:00:00,147.015,147.193,145.665,146.926,26.90227589420703,1.0,0.0
2022-11-02 21:00:00,146.928,147.963,146.888,147.736,22.186390752990675,1.0,0.0
2022-11-02 22:00:00,147.737,147.948,147.713,147.913,23.62894219737591,1.0,0.0
2022-11-02 23:00:00,147.866,147.881,147.717,147.764,24.98936034324507,1.0,0.0
2022-11-03 00:00:00,147.754,147.972,147.745,147.9,25.96873652942789,1.0,0.0
2022-11-03 01:00:00,147.917,147.995,147.838,147.887,26.596882780364403,1.0,0.0
2022-11-03 02:00:00,147.882,147.906,147.308,147.342,27.53683991993981,1.0,0.0
2022-11-03 03:00:00,147.339,147.53,147.104,147.365,28.386004589704385,1.0,0.0
