date,open,high,low,close,CI,trend,in_progress
2015-07-08,1.5462,1.5467,1.533,1.536,40.86534363603549,0.0,0.0
2015-07-09,1.536,1.5421,1.5344,1.5378,40.16208610957308,0.0,0.0
2015-07-10,1.5379,1.5551,1.5364,1.5513,45.26471117327862,0.0,0.0
2015-07-13,1.5497,1.5589,1.548,1.5486,46.97310506010307,0.0,0.0
2015-07-14,1.5485,1.5639,1.545,1.5635,47.725317618633696,0.0,0.0
2015-07-15,1.5635,1.5675,1.5576,1.5633,47.48693701762919,0.0,0.0
2015-07-16,1.5635,1.565,1.556,1.5608,47.44312696861906,0.0,0.0
2015-07-17,1.5604,1.5673,1.5553,1.5597,48.48120786247703,0.0,0.0
2015-07-20,1.5602,1.5628,1.5538,1.5558,53.21572881718597,0.0,0.0
2015-07-21,1.5561,1.559,1.5528,1.5552,58.30878127287463,0.0,0.0
2015-07-22,1.555,1.5647,1.5545,1.5608,58.406320579964294,0.0,0.0
2015-07-23,1.5608,1.567,1.5501,1.5511,58.694107485666024,0.0,0.0
2015-07-24,1.5511,1.5526,1.5466,1.5505,58.94662419735745,0.0,0.0
2015-07-27,1.5513,1.5596,1.549,1.5559,59.09040314652479,0.0,0.0
2015-07-28,1.5559,1.5628,1.5528,1.5613,60.72111430640394,0.0,0.0
2015-07-29,1.5612,1.5689,1.5587,1.5596,61.48996516617495,0.0,0.0
2015-07-30,1.5595,1.5641,1.5563,1.5597,72.89754081171233,0.0,0.0
2015-07-31,1.5597,1.5679,1.555,1.5618,72.71350460069517,0.0,0.0
2015-08-03,1.5627,1.5644,1.5565,1.5583,74.88097962954288,0.0,0.0
2015-08-04,1.5582,1.5633,1.5558,1.5558,74.36780342148533,0.0,0.0
2015-08-05,1.5559,1.5651,1.5526,1.5602,73.85276760866853,0.0,0.0
2015-08-06,1.5601,1.5637,1.5467,1.5511,73.43214308878724,0.0,0.0
2015-08-07,1.5512,1.5545,1.5425,1.5491,66.6520640124307,0.0,0.0
2015-08-10,1.5487,1.5605,1.5457,1.5586,66.5495184826103,0.0,0.0
2015-08-11,1.5585,1.5616,1.5555,1.5565,66.32934788740712,0.0,0.0
2015-08-12,1.5566,1.566,1.5534,1.5609,65.89053609426163,0.0,0.0
2015-08-13,1.5609,1.5636,1.5573,1.5605,65.51942139551359,0.0,0.0
2015-08-14,1.5606,1.566,1.5588,1.5645,65.24738498620738,0.0,0.0
2015-08-17,1.5647,1.5689,1.5579,1.5581,65.06002620354198,0.0,0.0
2015-08-18,1.5582,1.5717,1.5562,1.5655,61.10379331529927,0.0,0.0
2015-08-19,1.5656,1.57,1.5635,1.5679,61.144428512940436,0.0,0.0
2015-08-20,1.5679,1.5702,1.5606,1.5689,61.087157257395496,0.0,0.0
2015-08-21,1.5689,1.5723,1.5657,1.5688,60.43826795647786,0.0,0.0
2015-08-24,1.5676,1.5803,1.563,1.5775,51.772342766452724,1.0,0.5
2015-08-25,1.5775,1.5819,1.568,1.5687,50.505210380903065,1.0,0.5
2015-08-26,1.5687,1.572,1.5452,1.5458,50.89272527662522,1.0,0.5
2015-08-27,1.5458,1.5508,1.537,1.5403,46.303545289259176,1.0,0.5
2015-08-28,1.5403,1.5443,1.5335,1.5386,43.59578848084446,1.0,0.5
2015-08-31,1.541,1.5437,1.5339,1.5343,43.86911303965171,1.0,0.5
2015-09-01,1.5343,1.5408,1.53,1.5303,41.53846475689735,1.0,0.5
2015-09-02,1.5303,1.5326,1.5264,1.5292,39.30269050142959,1.0,0.0
2015-09-03,1.5293,1.5313,1.5219,1.5256,36.74745335626562,1.0,0.0
2015-09-04,1.5256,1.5272,1.5163,1.5167,33.742405463905996,1.0,0.0
2015-09-07,1.5176,1.5289,1.5171,1.5269,33.97034256440842,1.0,0.0
2015-09-08,1.527,1.5412,1.527,1.539,34.34888365648694,1.0,0.0
2015-09-09,1.539,1.5404,1.5349,1.5366,34.71047647967592,1.0,0.0
2015-09-10,1.5368,1.5476,1.5339,1.5442,35.20576507577488,1.0,0.0
2015-09-11,1.5445,1.5462,1.54,1.5428,35.356993067073105,1.0,0.0
2015-09-14,1.543,1.5471,1.5373,1.5424,41.61762647383066,0.0,0.0
2015-09-15,1.5425,1.5457,1.5329,1.5342,59.44339637961062,0.0,0.0
2015-09-16,1.5343,1.5528,1.5329,1.5488,57.050610182707956,0.0,0.0
2015-09-17,1.5489,1.5628,1.5485,1.5588,47.74020315439016,0.0,0.0
2015-09-18,1.5589,1.5658,1.5513,1.5523,45.2520867754457,0.0,0.0
2015-09-21,1.5523,1.5567,1.548,1.5505,45.127651001788706,0.0,0.0
2015-09-22,1.5508,1.5528,1.534,1.5361,45.21396989594353,0.0,0.0
2015-09-23,1.5359,1.5365,1.522,1.5238,45.348037686955884,0.0,0.0
2015-09-24,1.5239,1.5288,1.52,1.5241,46.066093890177356,0.0,0.0
2015-09-25,1.5242,1.5261,1.5135,1.5174,43.52486070361992,0.0,0.0
2015-09-28,1.5191,1.5242,1.5157,1.5174,43.462456767767236,0.0,0.0
2015-09-29,1.5174,1.5205,1.5129,1.5146,43.069645281983696,0.0,0.0
2015-09-30,1.5146,1.5213,1.5107,1.5125,41.39738918131426,0.0,0.0
2015-10-01,1.5127,1.518,1.5107,1.5131,41.4698064382703,0.0,0.0
2015-10-02,1.5131,1.5237,1.5127,1.5174,41.62896638657981,0.0,0.0
2015-10-05,1.5196,1.5244,1.5135,1.5145,41.984245121932176,0.0,0.0
2015-10-06,1.5145,1.5243,1.5139,1.5222,42.08468226023055,0.0,0.0
2015-10-07,1.5222,1.5339,1.5218,1.5316,42.092770441048266,0.0,0.0
2015-10-08,1.5316,1.5372,1.5261,1.5344,48.80952206604264,0.0,0.0
2015-10-09,1.5343,1.5383,1.5299,1.5327,52.072305762833025,0.0,0.0
2015-10-12,1.5314,1.5373,1.5309,1.5348,67.56726702742287,0.0,0.0
2015-10-13,1.5348,1.5387,1.52,1.5247,66.49581139492858,0.0,0.0
2015-10-14,1.5247,1.5494,1.5247,1.5474,54.002820593068066,0.0,0.5
2015-10-15,1.5477,1.5509,1.5415,1.5452,52.269802710087205,0.0,0.5
2015-10-16,1.5438,1.5486,1.543,1.5433,52.02496232595855,0.0,0.5
2015-10-19,1.5435,1.5496,1.5427,1.5463,51.73042547037947,0.0,0.5
2015-10-20,1.5463,1.5506,1.5436,1.5444,51.42491716201538,0.0,0.5
2015-10-21,1.5444,1.5477,1.541,1.541,53.02091342572279,0.0,0.5
2015-10-22,1.5412,1.5508,1.5369,1.5392,53.5121371757845,0.0,0.5
2015-10-23,1.5392,1.5419,1.5306,1.5306,53.64711761713116,0.0,0.5
2015-10-26,1.5306,1.5382,1.5305,1.5351,60.32084894691238,0.0,0.0
2015-10-27,1.5349,1.5359,1.5283,1.5303,60.12602021135017,0.0,0.0
2015-10-28,1.5303,1.5347,1.5248,1.5266,59.96979262797727,0.0,0.5
2015-10-29,1.5266,1.5321,1.5242,1.5311,59.809304305786235,0.0,0.5
2015-10-30,1.5311,1.5467,1.5308,1.5423,60.04349737616882,0.0,0.0
2015-11-02,1.5446,1.5497,1.5403,1.541,65.57030464636901,0.0,0.0
2015-11-03,1.5412,1.5445,1.5359,1.5419,64.98194495762031,0.0,0.0
2015-11-04,1.5419,1.5445,1.536,1.5382,64.56909648987883,0.0,0.0
2015-11-05,1.5382,1.5402,1.5205,1.5207,59.38895929347598,0.0,0.5
2015-11-06,1.5207,1.5219,1.5027,1.5045,41.87388613306215,0.0,0.5
2015-11-09,1.5046,1.5128,1.504,1.5113,41.97066896208029,0.0,0.5
2015-11-10,1.5113,1.5145,1.5091,1.5118,42.05422427304564,0.0,0.5
